,date,open,high,low,close,volume,tic,day
0,2000-01-03,0.9363840222358704,1.004464030265808,0.9079239964485168,0.849468469619751,535796800,AAPL,0
28,2000-01-04,0.966517984867096,0.9877229928970337,0.9034600257873535,0.777849555015564,512377600,AAPL,1
56,2000-01-05,0.9263389706611633,0.9871649742126465,0.919642984867096,0.7892321348190308,778321600,AAPL,2
84,2000-01-06,0.9475449919700623,0.955357015132904,0.8482139706611633,0.7209333181381226,767972800,AAPL,3
112,2000-01-07,0.861607015132904,0.9017860293388367,0.8526790142059326,0.7550832033157349,460734400,AAPL,4
140,2000-01-10,0.9107139706611633,0.9129459857940674,0.845982015132904,0.7418026924133301,505064000,AAPL,0
168,2000-01-11,0.8565850257873535,0.8872770071029663,0.8080360293388367,0.7038586139678955,441548800,AAPL,1
196,2000-01-12,0.8482139706611633,0.8526790142059326,0.7723209857940674,0.6616464257240295,976068800,AAPL,2
224,2000-01-13,0.8436099886894226,0.8816959857940674,0.825892984867096,0.7342137694358826,1032684800,AAPL,3
252,2000-01-14,0.892857015132904,0.9129459857940674,0.8872770071029663,0.7621971964836121,390376000,AAPL,4
280,2000-01-18,0.9017860293388367,0.9464290142059326,0.896763026714325,0.7887578010559082,459177600,AAPL,1
308,2000-01-19,0.9430800080299377,0.970982015132904,0.9229909777641296,0.8086788058280945,597643200,AAPL,2
336,2000-01-20,1.03125,1.0848209857940674,1.0133930444717407,0.8613259196281433,1831132800,AAPL,3
364,2000-01-21,1.020089030265808,1.020089030265808,0.9838169813156128,0.8447255492210388,495924800,AAPL,4
392,2000-01-24,0.9681919813156128,1.0066959857940674,0.9386159777641296,0.8063076734542847,440876800,AAPL,0
420,2000-01-25,0.9375,1.010045051574707,0.9140629768371582,0.8518396615982056,497145600,AAPL,1
448,2000-01-26,0.982142984867096,1.019531011581421,0.9799110293388367,0.836188018321991,367158400,AAPL,2
476,2000-01-27,0.9715399742126465,1.0089290142059326,0.955357015132904,0.8347651958465576,340144000,AAPL,3
504,2000-01-28,0.9659600257873535,0.9899550080299377,0.8984379768371582,0.7712091207504272,423348800,AAPL,4
532,2000-01-31,0.9017860293388367,0.9274550080299377,0.84375,0.7873351573944092,701680000,AAPL,0
560,2000-02-01,0.9285709857940674,0.9375,0.892857015132904,0.7607743144035339,318035200,AAPL,1
588,2000-02-02,0.8995540142059326,0.9118300080299377,0.8660709857940674,0.7498651146888733,464195200,AAPL,2
616,2000-02-03,0.8956469893455505,0.9308040142059326,0.8950889706611633,0.7840152978897095,475193600,AAPL,3
644,2000-02-04,0.928013026714325,0.982142984867096,0.9252229928970337,0.8195879459381104,425320000,AAPL,4
672,2000-02-07,0.9642860293388367,1.020089030265808,0.9458709955215454,0.8655944466590881,441067200,AAPL,0
700,2000-02-08,1.0178569555282593,1.036829948425293,0.9933040142059326,0.8717606067657471,408643200,AAPL,1
728,2000-02-09,1.0189729928970337,1.0457589626312256,1.003906011581421,0.854685366153717,299364800,AAPL,2
756,2000-02-10,1.0078129768371582,1.0167410373687744,0.982142984867096,0.8613259196281433,302982400,AAPL,3
784,2000-02-11,1.0145089626312256,1.0189729928970337,0.966517984867096,0.8252790570259094,212251200,AAPL,4
812,2000-02-14,0.9760040044784546,1.0345979928970337,0.9698659777641296,0.8788747787475586,367539200,AAPL,0
840,2000-02-15,1.0290180444717407,1.0708709955215454,1.0284600257873535,0.9030640721321106,485744000,AAPL,1
868,2000-02-16,1.051339030265808,1.0546879768371582,1.0011160373687744,0.8660687208175659,378246400,AAPL,2
896,2000-02-17,1.0284600257873535,1.03125,1.010045051574707,0.8717606067657471,289497600,AAPL,3
