,date,open,high,low,close,volume,tic,day
1,2000-01-03,70.0,70.0,62.875,46.32870101928711,22914900,AMGN,0
29,2000-01-04,62.0,64.125,57.6875,42.78618621826172,15052600,AMGN,1
57,2000-01-05,59.1875,60.6875,58.25,44.25839614868164,15071400,AMGN,2
85,2000-01-06,60.75,61.9375,60.25,44.9945068359375,11118400,AMGN,3
113,2000-01-07,62.75,68.5,62.625,50.05523681640625,15953900,AMGN,4
141,2000-01-10,69.5,72.6875,69.5,53.091697692871094,10555300,AMGN,0
169,2000-01-11,72.0625,72.375,64.125,48.90508270263672,14103100,AMGN,1
197,2000-01-12,67.625,67.75,62.5625,46.78877258300781,11576800,AMGN,2
225,2000-01-13,64.75,67.75,63.8125,49.181121826171875,10552600,AMGN,3
253,2000-01-14,68.875,70.0,67.375,50.2852897644043,8971200,AMGN,4
281,2000-01-18,70.0,70.125,68.25,50.83735656738281,8658100,AMGN,1
309,2000-01-19,70.0,72.9375,69.875,52.999671936035156,12070900,AMGN,2
337,2000-01-20,74.375,74.5,69.625,52.86164474487305,9460900,AMGN,3
365,2000-01-21,73.375,75.0,72.0,54.977943420410156,8154300,AMGN,4
393,2000-01-24,75.875,76.5,69.125,50.975379943847656,9853500,AMGN,0
421,2000-01-25,70.75,70.8125,66.0,51.06740951538086,11251900,AMGN,1
449,2000-01-26,67.875,68.875,64.0625,47.20282745361328,16000800,AMGN,2
477,2000-01-27,65.0,65.0625,59.125,45.17854690551758,14797000,AMGN,3
505,2000-01-28,61.4375,61.4375,59.375,43.93634033203125,10899900,AMGN,4
533,2000-01-31,61.0,63.875,59.875,46.880775451660156,12619500,AMGN,0
561,2000-02-01,64.75,66.0,62.75,48.07695770263672,9902700,AMGN,1
589,2000-02-02,65.125,65.125,61.875,46.880775451660156,9976900,AMGN,2
617,2000-02-03,64.75,65.0,62.375,47.11082077026367,7613000,AMGN,3
645,2000-02-04,64.75,66.5,64.125,47.57088088989258,8069600,AMGN,4
673,2000-02-07,66.5,69.5625,65.125,50.92937088012695,9190200,AMGN,0
701,2000-02-08,70.375,72.1875,69.1875,51.8955078125,11108300,AMGN,1
729,2000-02-09,71.25,71.5,66.625,49.181121826171875,7774100,AMGN,2
757,2000-02-10,67.375,67.5,64.5,47.98494338989258,8880100,AMGN,3
785,2000-02-11,65.3125,66.3125,61.9375,46.09867858886719,8105000,AMGN,4
813,2000-02-14,63.5625,65.875,61.5,47.89291763305664,8794600,AMGN,0
841,2000-02-15,65.25,65.75,64.1875,47.89291763305664,8358400,AMGN,1
869,2000-02-16,65.125,70.0,64.75,51.435447692871094,11654800,AMGN,2
897,2000-02-17,70.1875,74.0,69.9375,53.55175018310547,14842800,AMGN,3
925,2000-02-18,74.5,75.0,69.9375,52.49359893798828,14959700,AMGN,4
953,2000-02-22,71.6875,71.9375,66.375,49.68720245361328,8657100,AMGN,1
981,2000-02-23,68.6875,72.125,67.125,52.585609436035156,9098600,AMGN,2
1009,2000-02-24,72.125,73.1875,68.453125,53.41371536254883,9630100,AMGN,3
1037,2000-02-25,73.0,74.0,70.125,54.14986038208008,8556500,AMGN,4
1065,2000-02-28,72.875,72.875,66.5,50.377281188964844,13264800,AMGN,0
1093,2000-02-29,70.25,70.5,67.125,50.193260192871094,8593500,AMGN,1
1121,2000-03-01,67.0,67.25,64.8125,47.89291763305664,10212300,AMGN,2
1149,2000-03-02,65.3125,67.875,63.0,48.07695770263672,12075000,AMGN,3
1177,2000-03-03,66.875,67.875,65.0,48.81306076049805,10481000,AMGN,4
1205,2000-03-06,66.875,66.875,63.3125,47.524871826171875,12645900,AMGN,0
1233,2000-03-07,65.4375,65.5,60.5,44.902503967285156,12739800,AMGN,1
1261,2000-03-08,63.0,63.375,60.6875,45.17854690551758,15595000,AMGN,2
1289,2000-03-09,61.5625,61.6875,58.875,43.430301666259766,10935000,AMGN,3
1317,2000-03-10,60.0,63.375,58.75,43.84433364868164,16043800,AMGN,4
1345,2000-03-13,58.1875,60.25,58.0,42.69416809082031,10081100,AMGN,0
1373,2000-03-14,59.875,60.0,51.0625,38.46156311035156,27589100,AMGN,1
1401,2000-03-15,57.1875,59.375,56.0,43.06223678588867,33529500,AMGN,2
1429,2000-03-16,62.5,65.5,61.125,47.66289520263672,18216200,AMGN,3
1457,2000-03-17,64.25,65.1875,62.1875,46.46672439575195,12260600,AMGN,4
1485,2000-03-20,62.25,62.375,56.9375,42.69416809082031,20278200,AMGN,0
1513,2000-03-21,58.125,61.5,55.125,44.9945068359375,16598600,AMGN,1
1541,2000-03-22,61.6875,63.125,60.0,45.45457458496094,11226000,AMGN,2
1569,2000-03-23,58.125,58.5,56.8125,42.46413803100586,20064100,AMGN,3
1597,2000-03-24,58.25,58.421875,52.75,40.1638069152832,21633800,AMGN,4
1625,2000-03-27,55.125,61.0,55.125,44.442420959472656,15924900,AMGN,0
1653,2000-03-28,61.25,65.75,60.40625,46.23668670654297,18037600,AMGN,1
1681,2000-03-29,64.9375,65.875,61.6875,45.82264709472656,10524700,AMGN,2
1709,2000-03-30,61.5625,64.3125,59.0,44.35041809082031,9182700,AMGN,3
1737,2000-03-31,61.625,63.0,59.625,45.17854690551758,7864600,AMGN,4
1765,2000-04-03,61.0,61.9375,58.125,43.706321716308594,6449800,AMGN,0
1793,2000-04-04,60.125,60.125,53.8125,41.54402160644531,14755200,AMGN,1
1821,2000-04-05,56.3125,62.25,56.0,43.89035415649414,10977800,AMGN,2
1849,2000-04-06,61.890625,64.375,61.5,45.8686408996582,10843500,AMGN,3
1877,2000-04-07,63.4375,64.375,60.25,44.85648727416992,8580600,AMGN,4
1905,2000-04-10,62.0,63.75,58.75,43.33827209472656,9390100,AMGN,0
1933,2000-04-11,58.0,60.375,57.0,43.52229309082031,7586200,AMGN,1
1961,2000-04-12,60.125,61.5,58.1875,42.98172378540039,7345800,AMGN,2
1989,2000-04-13,59.5625,61.375,56.5,42.5561637878418,8131900,AMGN,3
2017,2000-04-14,56.6875,58.0,52.125,38.82961654663086,12667000,AMGN,4
2045,2000-04-17,52.375,54.25,50.0,39.28969192504883,12355900,AMGN,0
2073,2000-04-18,54.765625,58.5,54.125,42.97022247314453,9480500,AMGN,1
2101,2000-04-19,58.4375,59.9375,55.25,41.221961975097656,9010200,AMGN,2
2129,2000-04-20,56.75,57.25,53.1875,39.749759674072266,7848300,AMGN,3
2157,2000-04-24,53.3125,53.796875,50.0,37.771461486816406,11779300,AMGN,0
2185,2000-04-25,53.1875,54.5625,51.25,39.97977828979492,11171500,AMGN,1
2213,2000-04-26,52.875,61.296875,52.5,42.1421012878418,31026200,AMGN,2
