,date,open,high,low,close,volume,tic,day
2,2000-01-03,47.9956169128418,47.9956169128418,45.51559829711914,33.31269073486328,6471267,AXP,0
30,2000-01-04,45.31501007080078,45.479129791259766,43.50970458984375,32.05485916137695,10440877,AXP,1
58,2000-01-05,43.910884857177734,44.6767692565918,42.962642669677734,31.240713119506836,8646293,AXP,2
86,2000-01-06,42.452049255371094,44.45794677734375,42.452049255371094,31.877178192138672,10990975,AXP,3
114,2000-01-07,43.98382568359375,44.78618240356445,43.32735061645508,32.34128189086914,6016452,AXP,4
142,2000-01-10,44.64030075073242,45.679718017578125,44.31206130981445,32.7921142578125,4906318,AXP,0
170,2000-01-11,45.04147720336914,46.68266677856445,44.85912322998047,33.097110748291016,7158460,AXP,1
198,2000-01-12,45.49736404418945,46.354427337646484,44.767948150634766,32.924720764160156,5816977,AXP,2
226,2000-01-13,45.66148376464844,46.17207336425781,45.005008697509766,33.097110748291016,5831029,AXP,3
254,2000-01-14,46.08089828491211,47.010902404785156,46.007957458496094,33.839664459228516,6290643,AXP,4
282,2000-01-18,46.0991325378418,46.0991325378418,44.2026481628418,32.155643463134766,5867703,AXP,1
310,2000-01-19,44.78618240356445,45.1508903503418,43.400291442871094,31.598712921142578,6608706,AXP,2
338,2000-01-20,43.83794021606445,45.11442184448242,43.29087829589844,32.122493743896484,11311093,AXP,3
366,2000-01-21,44.64030075073242,44.85912322998047,44.03853225708008,32.18215560913086,6310865,AXP,4
394,2000-01-24,45.005008697509766,46.0991325378418,43.94735336303711,32.24848175048828,10029933,AXP,0
422,2000-01-25,44.23912048339844,46.31795883178711,44.23912048339844,33.60099792480469,10150577,AXP,1
450,2000-01-26,46.68266677856445,47.86796951293945,46.536781311035156,33.89270782470703,13196847,AXP,2
478,2000-01-27,46.97443389892578,47.92267608642578,46.70090103149414,34.5689697265625,6235462,AXP,3
506,2000-01-28,47.010902404785156,47.339141845703125,46.02619171142578,33.574462890625,7210556,AXP,4
534,2000-01-31,45.80736541748047,48.36032485961914,45.75265884399414,34.9535026550293,7406946,AXP,0
562,2000-02-01,48.013851165771484,49.45444869995117,47.79502868652344,35.85520553588867,9279676,AXP,1
590,2000-02-02,49.162681579589844,49.162681579589844,47.74032211303711,34.83418273925781,8956815,AXP,2
618,2000-02-03,47.9956169128418,48.287384033203125,46.865020751953125,34.55570602416992,7454930,AXP,3
646,2000-02-04,47.5214958190918,47.74032211303711,46.865020751953125,34.25074005126953,5155147,AXP,4
674,2000-02-07,47.102081298828125,47.813262939453125,46.956199645996094,34.462890625,4470696,AXP,0
702,2000-02-08,47.70384979248047,48.2326774597168,47.485023498535156,34.58224105834961,5268594,AXP,1
730,2000-02-09,47.5214958190918,47.5214958190918,45.22383117675781,33.216453552246094,7182109,AXP,2
758,2000-02-10,45.69795227050781,46.536781311035156,44.822654724121094,32.77886199951172,5986290,AXP,3
786,2000-02-11,45.22383117675781,46.11737060546875,44.330299377441406,32.56669616699219,6520964,AXP,4
814,2000-02-14,44.78618240356445,46.08089828491211,44.78618240356445,32.67277908325195,5418371,AXP,0
842,2000-02-15,45.005008697509766,46.5732536315918,44.87736129760742,33.76010513305664,4668114,AXP,1
