,date,open,high,low,close,volume,tic,day
2,2000-01-03,47.9956169128418,47.9956169128418,45.51559829711914,33.19883728027344,6471267,AXP,0
30,2000-01-04,45.31501007080078,45.479129791259766,43.50970458984375,31.94532585144043,10440877,AXP,1
58,2000-01-05,43.910884857177734,44.6767692565918,42.962642669677734,31.133926391601562,8646293,AXP,2
86,2000-01-06,42.452049255371094,44.45794677734375,42.452049255371094,31.768239974975586,10990975,AXP,3
114,2000-01-07,43.98382568359375,44.78618240356445,43.32735061645508,32.230770111083984,6016452,AXP,4
142,2000-01-10,44.64030075073242,45.679718017578125,44.31206130981445,32.68003463745117,4906318,AXP,0
170,2000-01-11,45.04147720336914,46.68266677856445,44.85912322998047,32.983985900878906,7158460,AXP,1
198,2000-01-12,45.49736404418945,46.354427337646484,44.767948150634766,32.81220245361328,5816977,AXP,2
226,2000-01-13,45.66148376464844,46.17207336425781,45.005008697509766,32.983985900878906,5831029,AXP,3
254,2000-01-14,46.08089828491211,47.010902404785156,46.007957458496094,33.724029541015625,6290643,AXP,4
282,2000-01-18,46.0991325378418,46.0991325378418,44.2026481628418,32.04576110839844,5867703,AXP,1
310,2000-01-19,44.78618240356445,45.1508903503418,43.400291442871094,31.49073600769043,6608706,AXP,2
338,2000-01-20,43.83794021606445,45.11442184448242,43.29087829589844,32.012699127197266,11311093,AXP,3
366,2000-01-21,44.64030075073242,44.85912322998047,44.03853225708008,32.072181701660156,6310865,AXP,4
394,2000-01-24,45.005008697509766,46.0991325378418,43.94735336303711,32.13824462890625,10029933,AXP,0
422,2000-01-25,44.23912048339844,46.31795883178711,44.23912048339844,33.48615646362305,10150577,AXP,1
450,2000-01-26,46.68266677856445,47.86796951293945,46.536781311035156,33.77690124511719,13196847,AXP,2
478,2000-01-27,46.97443389892578,47.92267608642578,46.70090103149414,34.450836181640625,6235462,AXP,3
506,2000-01-28,47.010902404785156,47.339141845703125,46.02619171142578,33.4597282409668,7210556,AXP,4
534,2000-01-31,45.80736541748047,48.36032485961914,45.75265884399414,34.83406448364258,7406946,AXP,0
562,2000-02-01,48.013851165771484,49.45444869995117,47.79502868652344,35.7326545715332,9279676,AXP,1
590,2000-02-02,49.162681579589844,49.162681579589844,47.74032211303711,34.715126037597656,8956815,AXP,2
618,2000-02-03,47.9956169128418,48.287384033203125,46.865020751953125,34.4376220703125,7454930,AXP,3
646,2000-02-04,47.5214958190918,47.74032211303711,46.865020751953125,34.1336669921875,5155147,AXP,4
674,2000-02-07,47.102081298828125,47.813262939453125,46.956199645996094,34.34511184692383,4470696,AXP,0
702,2000-02-08,47.70384979248047,48.2326774597168,47.485023498535156,34.464054107666016,5268594,AXP,1
730,2000-02-09,47.5214958190918,47.5214958190918,45.22383117675781,33.102935791015625,7182109,AXP,2
758,2000-02-10,45.69795227050781,46.536781311035156,44.822654724121094,32.66684341430664,5986290,AXP,3
786,2000-02-11,45.22383117675781,46.11737060546875,44.330299377441406,32.45541000366211,6520964,AXP,4
814,2000-02-14,44.78618240356445,46.08089828491211,44.78618240356445,32.56111145019531,5418371,AXP,0
842,2000-02-15,45.005008697509766,46.5732536315918,44.87736129760742,33.64472579956055,4668114,AXP,1
870,2000-02-16,45.66148376464844,45.73442459106445,44.38500213623047,32.528106689453125,7616703,AXP,2
898,2000-02-17,45.005008697509766,45.36971664428711,41.68616485595703,31.2792911529541,14201074,AXP,3
926,2000-02-18,43.144996643066406,43.163230895996094,39.4979133605957,29.23101806640625,15618645,AXP,4
954,2000-02-22,40.70145034790039,40.9202766418457,40.154388427734375,29.416013717651367,13781561,AXP,1
982,2000-02-23,40.55556869506836,41.04792404174805,39.880855560302734,29.204574584960938,10902205,AXP,2
1010,2000-02-24,40.154388427734375,40.42791748046875,37.6014289855957,27.486671447753906,19860733,AXP,3
1038,2000-02-25,38.257904052734375,39.09673309326172,36.1790657043457,26.376628875732422,16576260,AXP,4
