,date,open,high,low,close,volume,tic,day
3,2000-01-03,41.4375,41.6875,39.8125,25.94027328491211,2638200,BA,0
31,2000-01-04,40.1875,41.125,39.75,25.899934768676758,3592100,BA,1
59,2000-01-05,41.375,43.3125,41.375,27.51363754272461,7631700,BA,2
87,2000-01-06,42.625,43.4375,41.125,27.79604721069336,4922200,BA,3
115,2000-01-07,43.6875,44.875,43.6875,28.6029052734375,6008300,BA,4
143,2000-01-10,44.3125,44.5,43.5,28.199460983276367,2403500,BA,0
171,2000-01-11,43.6875,43.9375,42.75,27.675006866455078,2450000,BA,1
199,2000-01-12,42.875,44.1875,42.5,27.79604721069336,2327800,BA,2
227,2000-01-13,43.0625,43.375,42.0,27.352279663085938,3035100,BA,3
255,2000-01-14,42.9375,44.25,42.9375,28.401174545288086,3834900,BA,4
283,2000-01-18,44.0,45.0,43.125,29.046663284301758,5859800,BA,1
311,2000-01-19,45.25,48.125,45.25,30.741060256958008,11463600,BA,2
339,2000-01-20,47.625,47.875,45.75,30.014890670776367,8941100,BA,3
367,2000-01-21,46.5,46.9375,45.0,29.490421295166016,4392500,BA,4
395,2000-01-24,45.6875,46.1875,43.625,28.6029052734375,3306200,BA,0
423,2000-01-25,44.75,46.0,44.75,29.490421295166016,5057200,BA,1
451,2000-01-26,45.6875,46.5,45.0,29.81317710876465,3090100,BA,2
479,2000-01-27,46.1875,46.875,44.875,29.086994171142578,3339100,BA,3
507,2000-01-28,45.0625,45.625,44.5,28.804603576660156,2288100,BA,4
535,2000-01-31,44.5625,44.5625,43.9375,28.72392463684082,2411800,BA,0
563,2000-02-01,44.1875,44.1875,43.3125,28.23981285095215,2675800,BA,1
591,2000-02-02,43.75,45.1875,43.375,28.804603576660156,3295500,BA,2
619,2000-02-03,44.625,45.0625,43.125,28.038108825683594,2889100,BA,3
647,2000-02-04,43.4375,44.1875,42.5625,28.401174545288086,2927200,BA,4
675,2000-02-07,43.875,43.875,41.6875,26.98920440673828,3029400,BA,0
703,2000-02-08,41.8125,42.0625,40.0,26.46474266052246,5102700,BA,1
731,2000-02-09,40.25,40.25,38.375,25.26002311706543,5525000,BA,2
759,2000-02-10,39.0,40.1875,38.75,25.745805740356445,4060600,BA,3
787,2000-02-11,39.75,40.375,39.125,25.826759338378906,3132800,BA,4
815,2000-02-14,39.6875,39.6875,38.0625,24.774255752563477,2606300,BA,0
843,2000-02-15,38.25,38.6875,37.375,24.936187744140625,3961300,BA,1
871,2000-02-16,37.9375,37.9375,36.875,24.126567840576172,3423000,BA,2
899,2000-02-17,37.25,37.875,36.5625,24.288488388061523,3400500,BA,3
927,2000-02-18,37.5,37.5,35.875,23.316946029663086,5559500,BA,4
955,2000-02-22,36.0,39.9375,35.875,25.179073333740234,4771400,BA,1
983,2000-02-23,38.6875,38.6875,37.0625,24.04560661315918,3880800,BA,2
1011,2000-02-24,37.0,37.0,35.875,23.681276321411133,4210800,BA,3
1039,2000-02-25,36.8125,38.0,36.8125,24.490890502929688,3170600,BA,4
1067,2000-02-28,37.625,37.625,36.5625,23.964635848999023,3573300,BA,0
1095,2000-02-29,37.0,37.625,36.125,23.924161911010742,3513100,BA,1
