,date,open,high,low,close,volume,tic,day
5,2000-01-03,23.84375,24.5,23.84375,13.100212097167969,5055000,CAT,0
33,2000-01-04,24.3125,24.875,24.0,12.931829452514648,6181400,CAT,1
61,2000-01-05,24.0,25.09375,24.0,13.234920501708984,6398600,CAT,2
89,2000-01-06,25.28125,26.125,25.28125,13.908452033996582,5140600,CAT,3
117,2000-01-07,26.375,27.5625,26.375,14.363088607788086,6360200,CAT,4
145,2000-01-10,26.65625,27.28125,25.75,13.891608238220215,3682200,CAT,0
173,2000-01-11,25.78125,26.59375,25.375,13.672715187072754,3945600,CAT,1
201,2000-01-12,25.5625,26.15625,25.5625,13.908452033996582,3401000,CAT,2
229,2000-01-13,26.03125,26.6875,26.03125,14.060001373291016,3129400,CAT,3
257,2000-01-14,26.09375,26.4375,25.9375,13.992637634277344,3044400,CAT,4
285,2000-01-18,25.875,25.875,24.9375,13.538532257080078,4054200,CAT,1
313,2000-01-19,24.96875,25.34375,24.65625,13.36909008026123,3424600,CAT,2
341,2000-01-20,24.65625,24.96875,23.53125,12.776041984558105,4279200,CAT,3
369,2000-01-21,23.5625,23.96875,22.8125,12.843815803527832,5000000,CAT,4
397,2000-01-24,23.625,23.625,22.53125,12.28465461730957,5385600,CAT,0
425,2000-01-25,22.5,22.5,21.28125,11.827153205871582,6084200,CAT,1
453,2000-01-26,21.8125,22.84375,21.6875,12.182987213134766,4188200,CAT,2
481,2000-01-27,22.46875,22.78125,22.0,12.081326484680176,3340800,CAT,3
509,2000-01-28,22.28125,22.59375,21.75,11.7932710647583,4851600,CAT,4
537,2000-01-31,21.75,21.96875,21.21875,11.505212783813477,3677000,CAT,0
565,2000-02-01,21.375,22.03125,21.375,11.70854663848877,2930200,CAT,1
593,2000-02-02,21.59375,22.375,21.4375,11.776324272155762,2933600,CAT,2
621,2000-02-03,21.625,21.625,21.0625,11.471322059631348,4343400,CAT,3
649,2000-02-04,21.15625,21.40625,20.625,11.471322059631348,4122000,CAT,4
677,2000-02-07,20.90625,20.90625,20.375,11.183271408081055,4089800,CAT,0
705,2000-02-08,20.625,20.75,20.0,11.115494728088379,5848400,CAT,1
733,2000-02-09,20.5,20.59375,19.5625,10.607163429260254,5934800,CAT,2
761,2000-02-10,19.5625,19.78125,18.8125,10.319104194641113,5807400,CAT,3
789,2000-02-11,18.9375,18.9375,17.4375,9.759943008422852,11944800,CAT,4
817,2000-02-14,18.125,19.46875,18.125,10.471610069274902,6787800,CAT,0
845,2000-02-15,19.3125,20.375,19.3125,10.844388008117676,6048200,CAT,1
873,2000-02-16,20.0,20.3125,19.40625,10.624103546142578,3881400,CAT,2
901,2000-02-17,19.5625,19.5625,18.84375,10.488555908203125,3824200,CAT,3
929,2000-02-18,19.1875,19.1875,18.6875,10.21744441986084,3017800,CAT,4
957,2000-02-22,18.84375,19.4375,18.75,10.386893272399902,4028800,CAT,1
985,2000-02-23,19.15625,19.34375,18.59375,10.25133228302002,4894400,CAT,2
1013,2000-02-24,18.90625,18.9375,18.125,9.827722549438477,4488200,CAT,3
1041,2000-02-25,18.125,18.75,17.9375,9.759943008422852,4139800,CAT,4
1069,2000-02-28,18.0,18.3125,17.6875,9.641331672668457,3319200,CAT,0
1097,2000-02-29,17.78125,18.21875,17.5,9.505778312683105,4805800,CAT,1
1125,2000-03-01,17.53125,17.90625,17.4375,9.454946517944336,4841600,CAT,2
1153,2000-03-02,17.4375,17.5,17.09375,9.336337089538574,3956000,CAT,3
1181,2000-03-03,17.25,18.65625,17.25,9.861611366271973,4805800,CAT,4
1209,2000-03-06,18.21875,19.0,18.21875,9.946332931518555,5260400,CAT,0
1237,2000-03-07,18.25,18.25,16.75,9.166894912719727,8780800,CAT,1
