,date,open,high,low,close,volume,tic,day
6,2000-01-03,54.96875,55.125,51.78125,37.49693298339844,53076000,CSCO,0
34,2000-01-04,52.75,53.5,50.875,35.39328384399414,50805600,CSCO,1
62,2000-01-05,50.03125,52.25,48.625,35.28485107421875,68524000,CSCO,2
90,2000-01-06,50.40625,50.9375,49.3125,34.69929122924805,48242600,CSCO,3
118,2000-01-07,49.6875,53.0,49.6875,36.73787307739258,62260600,CSCO,4
146,2000-01-10,54.25,55.0,53.0625,38.10416030883789,50583000,CSCO,0
174,2000-01-11,54.0625,54.8125,52.5,36.95475387573242,43210200,CSCO,1
202,2000-01-12,53.4375,53.75,51.75,36.022212982177734,40757800,CSCO,2
230,2000-01-13,53.0,53.25,51.875,36.84632873535156,34494400,CSCO,3
258,2000-01-14,54.125,54.625,52.5,37.32344055175781,43623000,CSCO,4
286,2000-01-18,53.75,56.25,53.625,38.863216400146484,59568600,CSCO,1
314,2000-01-19,55.84375,56.5,54.53125,38.97164535522461,45597000,CSCO,2
342,2000-01-20,56.6875,57.5625,55.71875,38.99332809448242,41731200,CSCO,3
370,2000-01-21,57.4375,57.6875,56.21875,39.990936279296875,44974600,CSCO,4
398,2000-01-24,57.875,57.875,54.25,37.84391784667969,43787800,CSCO,0
426,2000-01-25,54.25,56.4375,53.53125,38.906593322753906,55379800,CSCO,1
454,2000-01-26,55.71875,55.875,53.5,37.19331741333008,35308800,CSCO,2
482,2000-01-27,54.40625,55.3125,51.875,36.99813461303711,47908600,CSCO,3
510,2000-01-28,53.28125,54.6875,51.5,36.043888092041016,49564400,CSCO,4
538,2000-01-31,51.46875,54.8125,50.0,37.9957275390625,66914600,CSCO,0
566,2000-02-01,54.890625,59.0625,54.78125,40.88010787963867,87263000,CSCO,1
594,2000-02-02,58.0625,58.875,56.5,39.513816833496094,68449200,CSCO,2
622,2000-02-03,57.4375,59.3125,57.25,40.88010787963867,48675200,CSCO,3
650,2000-02-04,59.78125,61.25,59.3125,42.02952575683594,52970000,CSCO,4
678,2000-02-07,62.03125,62.6875,61.28125,43.43918991088867,48933400,CSCO,0
706,2000-02-08,63.9375,64.0,61.84375,43.65605163574219,72100800,CSCO,1
734,2000-02-09,66.625,67.5,63.21875,44.6970329284668,107807600,CSCO,2
762,2000-02-10,65.3125,68.125,64.28125,47.16936111450195,64314000,CSCO,3
790,2000-02-11,66.5625,66.8125,64.0625,45.43438720703125,75471000,CSCO,4
818,2000-02-14,66.46875,66.46875,63.46875,45.28257751464844,49103800,CSCO,0
846,2000-02-15,64.875,65.0625,62.65625,44.41510009765625,61367200,CSCO,1
874,2000-02-16,63.9375,64.75,63.375,44.12774658203125,46274000,CSCO,2
902,2000-02-17,64.46875,65.3125,63.8125,45.28257751464844,39656600,CSCO,3
930,2000-02-18,65.34375,65.40625,62.78125,43.65605163574219,41600000,CSCO,4
958,2000-02-22,63.28125,63.53125,60.625,43.00544738769531,61144400,CSCO,1
986,2000-02-23,63.5,69.5,63.15625,48.10189437866211,105707800,CSCO,2
1014,2000-02-24,68.625,68.875,66.25,47.624786376953125,74976000,CSCO,3
1042,2000-02-25,68.3125,68.625,65.53125,46.06330871582031,46451200,CSCO,4
1070,2000-02-28,65.3828125,66.59375,63.8125,45.30427551269531,52048400,CSCO,0
1098,2000-02-29,66.1796875,66.96875,64.6328125,45.86812973022461,41688600,CSCO,1
1126,2000-03-01,66.34375,67.6875,65.0,45.69464874267578,39469400,CSCO,2
1154,2000-03-02,65.5625,66.75,64.96875,46.06330871582031,31939200,CSCO,3
1182,2000-03-03,67.25,69.46875,66.9375,47.689849853515625,38053800,CSCO,4
1210,2000-03-06,68.59375,69.0,67.21875,47.23442840576172,33787600,CSCO,0
1238,2000-03-07,68.875,68.90625,65.375,45.82475280761719,42309600,CSCO,1
1266,2000-03-08,66.625,67.5,65.0,45.933197021484375,48042400,CSCO,2
1294,2000-03-09,66.9375,69.9921875,66.0625,48.34047317504883,67248600,CSCO,3
1322,2000-03-10,69.5625,70.9375,68.03125,47.321163177490234,48013600,CSCO,4
1350,2000-03-13,67.5,70.015625,67.0,47.25611114501953,47557200,CSCO,0
