,date,open,high,low,close,volume,tic,day
7,2000-01-03,42.9375,42.9375,41.28125,17.676738739013672,4387600,CVX,0
35,2000-01-04,41.46875,42.0625,41.25,17.676738739013672,3702400,CVX,1
63,2000-01-05,41.53125,43.28125,41.53125,17.99379539489746,5567600,CVX,2
91,2000-01-06,42.65625,44.59375,42.65625,18.760061264038086,4353400,CVX,3
119,2000-01-07,45.0,45.4375,44.5,19.090341567993164,4487400,CVX,4
147,2000-01-10,45.03125,45.03125,43.84375,18.575101852416992,2104800,CVX,0
175,2000-01-11,43.9375,44.4375,43.46875,18.403350830078125,2791200,CVX,1
203,2000-01-12,43.53125,43.8125,42.9375,18.337305068969727,2992600,CVX,2
231,2000-01-13,43.25,44.625,43.0625,18.509052276611328,3253400,CVX,3
259,2000-01-14,42.90625,43.71875,42.78125,18.3901424407959,3673000,CVX,4
287,2000-01-18,43.75,44.75,43.46875,18.878957748413086,4317400,CVX,1
315,2000-01-19,44.5,44.5,43.875,18.58831214904785,5027000,CVX,2
343,2000-01-20,44.09375,44.09375,43.40625,18.495819091796875,3419800,CVX,3
371,2000-01-21,43.9375,44.9375,43.90625,18.72043228149414,3947800,CVX,4
399,2000-01-24,44.75,45.1875,43.96875,18.77326011657715,3536600,CVX,0
427,2000-01-25,44.40625,45.25,43.8125,18.72043228149414,3854600,CVX,1
455,2000-01-26,44.625,44.875,43.25,18.548673629760742,2681000,CVX,2
483,2000-01-27,43.65625,43.8125,41.78125,17.82205581665039,3550800,CVX,3
511,2000-01-28,41.78125,41.84375,40.9375,17.452131271362305,4066000,CVX,4
539,2000-01-31,41.03125,41.96875,40.375,17.676738739013672,3660600,CVX,0
567,2000-02-01,41.6875,42.21875,41.25,17.58424949645996,2611600,CVX,1
595,2000-02-02,41.34375,41.96875,41.21875,17.465351104736328,3418800,CVX,2
623,2000-02-03,41.0625,41.25,40.3125,17.21433448791504,3512800,CVX,3
651,2000-02-04,40.625,40.625,39.1875,16.60661506652832,4224200,CVX,4
679,2000-02-07,39.5625,40.0,39.21875,16.712308883666992,3135600,CVX,0
707,2000-02-08,40.0625,40.34375,39.15625,16.55377197265625,3567400,CVX,1
735,2000-02-09,39.21875,39.34375,37.46875,15.853568077087402,4802400,CVX,2
763,2000-02-10,37.78125,38.71875,37.4375,16.236696243286133,3832600,CVX,3
791,2000-02-11,38.6875,38.8125,36.09375,15.642189025878906,5019800,CVX,4
819,2000-02-14,37.09375,37.71875,36.8125,15.602554321289062,5039800,CVX,0
847,2000-02-15,37.21875,38.84375,37.21875,16.38202476501465,6143400,CVX,1
875,2000-02-16,38.875,39.46875,38.65625,16.587194442749023,4749200,CVX,2
903,2000-02-17,39.0625,39.09375,38.28125,16.573877334594727,3735800,CVX,3
931,2000-02-18,38.75,38.875,37.90625,16.240798950195312,3570400,CVX,4
959,2000-02-22,37.53125,38.09375,37.125,16.134214401245117,3526400,CVX,1
987,2000-02-23,37.5,37.53125,36.40625,15.6146240234375,3770000,CVX,2
1015,2000-02-24,36.65625,36.78125,35.6875,15.228242874145508,5415600,CVX,3
1043,2000-02-25,36.0,36.375,34.96875,15.148305892944336,6453400,CVX,4
1071,2000-02-28,35.53125,37.46875,35.4375,15.89439868927002,5097800,CVX,0
1099,2000-02-29,37.28125,37.71875,36.71875,15.921048164367676,4296600,CVX,1
1127,2000-03-01,37.28125,37.8125,36.3125,16.040952682495117,4633400,CVX,2
1155,2000-03-02,37.6875,38.71875,37.46875,16.134214401245117,4050400,CVX,3
1183,2000-03-03,37.28125,37.6875,36.78125,15.89439868927002,4637600,CVX,4
1211,2000-03-06,37.21875,37.375,36.84375,15.774490356445312,2814400,CVX,0
1239,2000-03-07,37.28125,41.0,37.25,17.266674041748047,5600000,CVX,1
1267,2000-03-08,40.0625,42.1875,39.875,17.279996871948242,7262800,CVX,2
1295,2000-03-09,40.15625,42.0,39.875,17.74630355834961,4307200,CVX,3
1323,2000-03-10,41.78125,42.40625,39.71875,17.133445739746094,5384600,CVX,4
1351,2000-03-13,40.46875,41.875,39.875,17.013540267944336,4170800,CVX,0
1379,2000-03-14,40.0,41.5625,39.65625,17.666366577148438,4209400,CVX,1
1407,2000-03-15,41.4375,42.0,40.4375,17.892850875854492,3756200,CVX,2
1435,2000-03-16,41.59375,43.5,40.84375,17.93282127380371,5194400,CVX,3
1463,2000-03-17,41.96875,42.0,41.15625,17.75962257385254,4251000,CVX,4
1491,2000-03-20,41.78125,42.03125,40.84375,17.679689407348633,2280400,CVX,0
1519,2000-03-21,41.5,43.25,41.5,18.332521438598633,3546000,CVX,1
1547,2000-03-22,42.25,42.875,41.21875,17.906171798706055,2794200,CVX,2
1575,2000-03-23,41.5,42.90625,41.125,18.039403915405273,4197800,CVX,3
1603,2000-03-24,42.375,42.96875,42.375,18.252578735351562,2815200,CVX,4
1631,2000-03-27,42.09375,42.9375,41.21875,18.026081085205078,3774200,CVX,0
1659,2000-03-28,41.78125,42.875,41.625,18.09269905090332,3260800,CVX,1
1687,2000-03-29,42.40625,44.5,42.34375,18.865442276000977,5306200,CVX,2
1715,2000-03-30,44.59375,46.125,44.53125,19.651498794555664,7823200,CVX,3
1743,2000-03-31,46.125,47.125,45.9375,19.704795837402344,6282000,CVX,4
1771,2000-04-03,46.3125,46.875,45.75,19.67814826965332,3577200,CVX,0
1799,2000-04-04,46.28125,46.625,44.6875,19.145221710205078,7643400,CVX,1
1827,2000-04-05,44.8125,45.34375,43.6875,18.652259826660156,2959200,CVX,2
1855,2000-04-06,44.0,44.90625,43.65625,18.95870590209961,2299000,CVX,3
1883,2000-04-07,44.46875,44.46875,43.15625,18.42578125,2876000,CVX,4
1911,2000-04-10,42.71875,43.71875,42.5625,18.34584617614746,2417600,CVX,0
1939,2000-04-11,43.28125,44.75,43.28125,18.905412673950195,3443400,CVX,1
1967,2000-04-12,44.65625,45.21875,44.21875,18.972015380859375,2795400,CVX,2
1995,2000-04-13,44.46875,44.46875,43.46875,18.532371520996094,5013200,CVX,3
2023,2000-04-14,43.5,43.53125,42.71875,18.265899658203125,3769400,CVX,4
2051,2000-04-17,42.5,42.84375,41.15625,17.679689407348633,3983000,CVX,0
2079,2000-04-18,41.375,42.46875,41.15625,18.026081085205078,3010400,CVX,1
2107,2000-04-19,42.15625,43.0625,41.96875,18.066051483154297,3027000,CVX,2
2135,2000-04-20,41.5625,43.15625,41.5625,18.399133682250977,2225200,CVX,3
2163,2000-04-24,42.65625,43.65625,42.46875,18.172636032104492,2998400,CVX,0
2191,2000-04-25,42.6875,43.09375,42.03125,18.07937240600586,3206000,CVX,1
2219,2000-04-26,43.09375,43.28125,42.71875,18.399133682250977,2055600,CVX,2
2247,2000-04-27,43.15625,44.5,43.15625,18.852115631103516,2895600,CVX,3
2275,2000-04-28,43.71875,44.21875,42.5625,18.1459903717041,2810200,CVX,4
2303,2000-05-01,42.75,44.25,42.75,18.399133682250977,2961200,CVX,0
2331,2000-05-02,43.59375,44.96875,43.5625,19.038639068603516,3557800,CVX,1
2359,2000-05-03,44.71875,44.71875,43.65625,18.612306594848633,2793800,CVX,2
2387,2000-05-04,43.78125,44.5625,43.78125,18.838790893554688,1928200,CVX,3
2415,2000-05-05,44.3125,45.375,44.03125,19.34506607055664,2409600,CVX,4
2443,2000-05-08,45.53125,46.46875,45.375,19.571556091308594,3292000,CVX,0
2471,2000-05-09,45.84375,45.875,44.4375,19.21183967590332,1992000,CVX,1
2499,2000-05-10,44.71875,45.9375,44.71875,19.371713638305664,2675600,CVX,2
2527,2000-05-11,45.4375,46.71875,45.4375,19.904638290405273,3395000,CVX,3
2555,2000-05-12,46.5,47.15625,46.3125,20.097814559936523,3320400,CVX,4
2583,2000-05-15,46.90625,47.375,46.71875,20.037860870361328,3337600,CVX,0
2611,2000-05-16,47.0,47.0,46.03125,19.811384201049805,3079800,CVX,1
2639,2000-05-17,45.375,45.84375,45.03125,19.60206413269043,3003200,CVX,2
2667,2000-05-18,45.78125,46.03125,45.1875,19.508153915405273,1768400,CVX,3
2695,2000-05-19,45.5,46.96875,45.34375,20.031410217285156,2767800,CVX,4
2723,2000-05-22,46.90625,47.4375,46.65625,20.19241714477539,3359600,CVX,0
2751,2000-05-23,46.84375,46.84375,45.78125,20.018001556396484,2436200,CVX,1
2779,2000-05-24,46.6875,47.21875,46.375,20.232667922973633,3430600,CVX,2
2807,2000-05-25,46.9375,46.9375,45.71875,20.00459098815918,2944800,CVX,3
2835,2000-05-26,46.90625,47.0,45.5625,19.615497589111328,2299800,CVX,4
2863,2000-05-30,45.71875,45.84375,45.28125,19.60206413269043,2054400,CVX,1
2891,2000-05-31,45.90625,46.71875,45.78125,19.843576431274414,2577800,CVX,2
2919,2000-06-01,46.21875,46.21875,44.71875,19.534984588623047,2455200,CVX,3
2947,2000-06-02,45.0,45.28125,44.40625,19.441062927246094,4548400,CVX,4
2975,2000-06-05,45.375,45.625,45.125,19.414234161376953,2703200,CVX,0
3003,2000-06-06,45.25,46.59375,45.21875,19.937488555908203,2582000,CVX,1
