,date,open,high,low,close,volume,tic,day
9,2000-01-03,94.1875,94.375,87.75,65.19409942626953,1822600,GS,0
37,2000-01-04,87.0,87.5,82.25,61.08774185180664,1647700,GS,1
65,2000-01-05,80.875,81.875,78.375,58.2271728515625,1516600,GS,2
93,2000-01-06,78.625,84.5,78.625,60.71866989135742,1845100,GS,3
121,2000-01-07,83.0625,83.1875,79.875,60.94933319091797,1127400,GS,4
149,2000-01-10,81.75,84.875,81.75,62.28740692138672,803100,GS,0
177,2000-01-11,85.0,86.25,84.5625,62.6103630065918,808600,GS,1
205,2000-01-12,84.125,86.0,83.375,62.28740692138672,916100,GS,2
233,2000-01-13,85.125,85.125,82.875,62.379669189453125,711000,GS,3
261,2000-01-14,85.5,86.9375,85.3125,63.21014404296875,607000,GS,4
289,2000-01-18,85.0,89.125,84.75,64.13294219970703,1095700,GS,1
317,2000-01-19,86.875,89.375,86.75,64.64042663574219,636900,GS,2
345,2000-01-20,87.0,87.9375,84.875,63.52790451049805,621800,GS,3
373,2000-01-21,86.1875,86.1875,84.5625,63.34311294555664,542500,GS,4
401,2000-01-24,87.5,87.5,81.5,60.43238067626953,712900,GS,0
429,2000-01-25,83.0,84.1875,82.375,62.00321578979492,749300,GS,1
457,2000-01-26,84.125,88.5,84.125,65.23735809326172,1086600,GS,2
485,2000-01-27,88.25,89.9375,87.625,65.79179382324219,702000,GS,3
513,2000-01-28,87.5,88.0,86.125,64.31332397460938,776800,GS,4
541,2000-01-31,87.0,91.6875,86.5,67.73231506347656,801800,GS,0
569,2000-02-01,92.875,93.0,90.5,67.45506286621094,813100,GS,1
597,2000-02-02,90.75,91.625,88.625,67.36271667480469,964700,GS,2
625,2000-02-03,90.0,91.125,84.8125,63.11207962036133,2213300,GS,3
653,2000-02-04,87.25,87.25,83.5625,62.60387420654297,1451700,GS,4
681,2000-02-07,84.4375,86.5,83.5,63.389320373535156,929800,GS,0
709,2000-02-08,85.75,89.625,85.75,66.11521911621094,1024800,GS,1
737,2000-02-09,89.4375,89.4375,86.5625,64.12850189208984,397100,GS,2
765,2000-02-10,86.75,87.3125,85.5,64.03617858886719,503200,GS,3
793,2000-02-11,86.4375,88.75,85.0,62.92727279663086,856900,GS,4
821,2000-02-14,85.125,86.875,84.625,63.9437255859375,627800,GS,0
849,2000-02-15,86.25,86.625,85.125,63.9437255859375,542400,GS,1
877,2000-02-16,86.75,87.3125,82.875,61.31020736694336,720300,GS,2
905,2000-02-17,84.75,84.75,81.125,60.70960998535156,895500,GS,3
933,2000-02-18,84.5,84.5,80.75,59.73935317993164,925500,GS,4
961,2000-02-22,81.25,82.375,80.6875,60.293785095214844,720100,GS,1
989,2000-02-23,81.3125,87.0,81.0625,63.389320373535156,702900,GS,2
1017,2000-02-24,85.8125,89.9375,85.5,66.25383758544922,1199800,GS,3
1045,2000-02-25,89.4375,94.0,88.25,65.97660827636719,1333000,GS,4
1073,2000-02-28,89.25,89.25,87.0,65.0525894165039,518000,GS,0
1101,2000-02-29,88.75,92.5,88.0,68.37914276123047,1381200,GS,1
1129,2000-03-01,93.25,96.75,93.1875,70.04244232177734,1488900,GS,2
1157,2000-03-02,95.25,97.875,94.125,71.1512451171875,1819200,GS,3
1185,2000-03-03,97.0,102.5,96.75,75.77144622802734,2295900,GS,4
1213,2000-03-06,102.75,105.25,102.375,76.64932250976562,1421000,GS,0
1241,2000-03-07,103.9375,105.75,102.4375,77.52711486816406,1041300,GS,1
1269,2000-03-08,105.0,105.375,99.6875,75.2170181274414,1041100,GS,2
1297,2000-03-09,101.75,108.1875,101.25,79.23662567138672,535500,GS,3
1325,2000-03-10,109.75,119.0,108.5,82.9789810180664,2034400,GS,4
1353,2000-03-13,107.5,115.5,106.5,81.59293365478516,1454200,GS,0
1381,2000-03-14,111.5,112.875,103.5,77.43474578857422,653100,GS,1
