,date,open,high,low,close,volume,tic,day
10,2000-01-03,68.625,69.1875,63.8125,40.3392333984375,12030800,HD,0
38,2000-01-04,64.0,64.3125,61.25,38.2120475769043,8774500,HD,1
66,2000-01-05,61.75,63.0,61.0,38.985557556152344,6931400,HD,2
94,2000-01-06,61.625,62.0,60.0,37.12909698486328,6603400,HD,3
122,2000-01-07,61.75,63.5,60.75,39.29497146606445,6201600,HD,4
150,2000-01-10,62.0,63.5625,62.0,39.10158920288086,5453000,HD,0
178,2000-01-11,63.4375,63.625,61.25,38.096004486083984,4371500,HD,1
206,2000-01-12,61.5625,62.0625,60.6875,37.78659439086914,4599400,HD,2
234,2000-01-13,62.125,62.5,61.5,38.44411087036133,4538900,HD,3
262,2000-01-14,62.375,62.4375,61.1875,38.328067779541016,4578000,HD,4
290,2000-01-18,61.25,61.25,60.125,37.43852615356445,5322000,HD,1
318,2000-01-19,60.125,62.4375,60.125,38.289398193359375,5176400,HD,2
346,2000-01-20,61.5625,61.75,59.875,37.63188552856445,7213400,HD,3
374,2000-01-21,61.5,61.5,59.4375,37.12909698486328,6682900,HD,4
402,2000-01-24,60.9375,60.9375,56.6875,35.8914680480957,7339600,HD,0
430,2000-01-25,57.0,57.125,54.875,34.7311897277832,10252400,HD,1
458,2000-01-26,55.9375,57.6875,55.0625,35.50470733642578,8468400,HD,2
486,2000-01-27,57.875,59.5,56.1875,36.04616165161133,6915900,HD,3
514,2000-01-28,57.0,57.4375,55.5,34.421783447265625,7425100,HD,4
542,2000-01-31,56.5,56.8125,55.0625,35.04060745239258,5958600,HD,0
570,2000-02-01,56.9375,62.0,56.8125,38.36673355102539,10950500,HD,1
598,2000-02-02,61.0,61.5,59.625,37.59321594238281,5862100,HD,2
626,2000-02-03,60.5,60.625,59.0,37.43852615356445,4008800,HD,3
654,2000-02-04,61.0,61.5,60.3125,37.82527542114258,4063900,HD,4
682,2000-02-07,61.0,61.0,59.0,36.51029968261719,3796600,HD,0
