,date,open,high,low,close,volume,tic,day
14,2000-01-03,46.5625,46.875,45.78125,25.267580032348633,4642400,JNJ,0
42,2000-01-04,45.5625,45.78125,44.375,24.34253692626953,7822200,JNJ,1
70,2000-01-05,44.40625,45.40625,44.21875,24.599477767944336,8229600,JNJ,2
98,2000-01-06,45.15625,46.96875,45.0625,25.370361328125,5356400,JNJ,3
126,2000-01-07,47.0625,48.46875,46.8125,26.449581146240234,9863800,JNJ,4
154,2000-01-10,48.34375,48.46875,47.03125,25.781490325927734,4928600,JNJ,0
182,2000-01-11,46.5,47.46875,46.46875,25.867145538330078,6153000,JNJ,1
210,2000-01-12,46.9375,47.53125,46.59375,25.6273193359375,5163200,JNJ,2
238,2000-01-13,46.96875,48.0,46.53125,25.593055725097656,4659200,JNJ,3
266,2000-01-14,46.96875,47.1875,46.40625,25.67870330810547,5404800,JNJ,4
294,2000-01-18,46.0,46.53125,45.53125,25.02773666381836,4870000,JNJ,1
322,2000-01-19,45.5,46.03125,45.3125,25.1134033203125,5507400,JNJ,2
350,2000-01-20,46.125,46.15625,45.03125,25.199066162109375,4823400,JNJ,3
378,2000-01-21,45.875,45.875,44.8125,24.633747100830078,8538000,JNJ,4
406,2000-01-24,45.0625,45.09375,41.78125,22.93781852722168,11304200,JNJ,0
434,2000-01-25,41.9375,43.46875,41.78125,23.3660888671875,12956800,JNJ,1
462,2000-01-26,43.125,43.4375,41.53125,22.886432647705078,9491400,JNJ,2
490,2000-01-27,41.875,41.96875,40.25,22.064159393310547,12406600,JNJ,3
518,2000-01-28,40.4375,42.59375,40.4375,23.160518646240234,12340000,JNJ,4
546,2000-01-31,42.59375,43.375,41.40625,23.588773727416992,9055200,JNJ,0
574,2000-02-01,42.71875,42.75,42.1875,23.24615478515625,6079200,JNJ,1
602,2000-02-02,42.75,43.15625,42.46875,23.400348663330078,5791600,JNJ,2
630,2000-02-03,42.5,42.5,40.9375,22.83503532409668,10237200,JNJ,3
658,2000-02-04,41.5625,41.8125,40.90625,22.509559631347656,6906000,JNJ,4
