,date,open,high,low,close,volume,tic,day
16,2000-01-03,29.0,29.0,27.625,14.781804084777832,10997000,KO,0
44,2000-01-04,28.1875,28.40625,27.8125,14.798178672790527,7308000,KO,1
72,2000-01-05,28.21875,28.71875,28.03125,14.929290771484375,9457400,KO,2
100,2000-01-06,28.46875,28.84375,28.28125,14.945669174194336,7129200,KO,3
128,2000-01-07,28.9375,30.375,28.9375,15.92894458770752,11474000,KO,4
156,2000-01-10,30.375,30.46875,29.375,15.420919418334961,8723800,KO,0
184,2000-01-11,30.0625,30.625,30.0625,15.94532585144043,9398000,KO,1
212,2000-01-12,30.40625,30.90625,30.21875,16.12559700012207,8389800,KO,2
240,2000-01-13,30.71875,30.71875,30.21875,15.879768371582031,6106000,KO,3
268,2000-01-14,30.34375,30.96875,30.34375,16.010875701904297,7513200,KO,4
296,2000-01-18,30.53125,32.5,30.53125,17.04331398010254,18350800,KO,1
324,2000-01-19,32.5,32.625,32.03125,17.108861923217773,12813400,KO,2
352,2000-01-20,32.625,32.96875,32.5625,17.272741317749023,11539800,KO,3
380,2000-01-21,32.9375,33.4375,32.875,17.534944534301758,11385800,KO,4
408,2000-01-24,33.375,33.375,31.78125,17.010547637939453,11306000,KO,0
436,2000-01-25,32.4375,33.03125,31.4375,17.272741317749023,9718600,KO,1
464,2000-01-26,32.75,32.75,31.375,16.5352840423584,23723800,KO,2
492,2000-01-27,31.34375,31.34375,29.21875,15.601192474365234,17550800,KO,3
520,2000-01-28,29.75,29.78125,28.46875,14.929290771484375,10875200,KO,4
548,2000-01-31,28.46875,29.375,28.28125,15.060389518737793,10734600,KO,0
576,2000-02-01,28.71875,29.1875,28.15625,15.240653991699219,8114600,KO,1
604,2000-02-02,28.9375,28.9375,28.03125,14.781804084777832,7164000,KO,2
632,2000-02-03,28.1875,28.375,27.53125,14.48681926727295,9464400,KO,3
660,2000-02-04,27.625,28.875,27.53125,14.749017715454102,11501800,KO,4
688,2000-02-07,28.125,28.8125,27.78125,14.912899017333984,7742800,KO,0
716,2000-02-08,28.4375,28.9375,28.375,14.99483871459961,8261200,KO,1
744,2000-02-09,28.59375,28.875,28.375,14.945669174194336,7948600,KO,2
772,2000-02-10,28.5,28.6875,28.125,14.863738059997559,8031000,KO,3
800,2000-02-11,27.96875,27.96875,27.4375,14.568753242492676,7688600,KO,4
828,2000-02-14,27.625,27.625,26.90625,14.19183349609375,7134000,KO,0
856,2000-02-15,27.0625,27.875,26.625,14.601526260375977,7850800,KO,1
884,2000-02-16,27.71875,27.71875,26.625,14.044344902038574,6869200,KO,2
912,2000-02-17,26.78125,26.78125,25.59375,13.71658992767334,11661000,KO,3
940,2000-02-18,26.15625,26.15625,25.375,13.4707670211792,11443400,KO,4
968,2000-02-22,25.6875,26.3125,25.25,13.569098472595215,10543000,KO,1
996,2000-02-23,25.71875,25.71875,25.0,13.437997817993164,11021600,KO,2
1024,2000-02-24,25.25,25.25,24.15625,13.061079025268555,15451600,KO,3
1052,2000-02-25,24.90625,25.34375,24.03125,12.766092300415039,10905200,KO,4
1080,2000-02-28,24.34375,24.84375,23.78125,12.929974555969238,10790800,KO,0
1108,2000-02-29,24.40625,24.40625,23.8125,12.749711990356445,10346200,KO,1
1136,2000-03-01,24.59375,25.6875,24.59375,13.37244701385498,15612200,KO,2
1164,2000-03-02,25.5,25.90625,24.6875,13.011910438537598,11358600,KO,3
1192,2000-03-03,24.8125,25.1875,24.53125,13.143013954162598,9010600,KO,4
1220,2000-03-06,24.75,24.75,24.15625,12.848037719726562,7866000,KO,0
