,date,open,high,low,close,volume,tic,day
16,2000-01-03,29.0,29.0,27.625,14.781790733337402,10997000,KO,0
44,2000-01-04,28.1875,28.40625,27.8125,14.798182487487793,7308000,KO,1
72,2000-01-05,28.21875,28.71875,28.03125,14.92928409576416,9457400,KO,2
100,2000-01-06,28.46875,28.84375,28.28125,14.945672035217285,7129200,KO,3
128,2000-01-07,28.9375,30.375,28.9375,15.92894172668457,11474000,KO,4
156,2000-01-10,30.375,30.46875,29.375,15.420917510986328,8723800,KO,0
184,2000-01-11,30.0625,30.625,30.0625,15.945330619812012,9398000,KO,1
212,2000-01-12,30.40625,30.90625,30.21875,16.125585556030273,8389800,KO,2
240,2000-01-13,30.71875,30.71875,30.21875,15.87977123260498,6106000,KO,3
268,2000-01-14,30.34375,30.96875,30.34375,16.010881423950195,7513200,KO,4
296,2000-01-18,30.53125,32.5,30.53125,17.043310165405273,18350800,KO,1
324,2000-01-19,32.5,32.625,32.03125,17.108858108520508,12813400,KO,2
352,2000-01-20,32.625,32.96875,32.5625,17.272743225097656,11539800,KO,3
380,2000-01-21,32.9375,33.4375,32.875,17.53495216369629,11385800,KO,4
408,2000-01-24,33.375,33.375,31.78125,17.01053810119629,11306000,KO,0
436,2000-01-25,32.4375,33.03125,31.4375,17.272743225097656,9718600,KO,1
464,2000-01-26,32.75,32.75,31.375,16.535293579101562,23723800,KO,2
492,2000-01-27,31.34375,31.34375,29.21875,15.601181030273438,17550800,KO,3
520,2000-01-28,29.75,29.78125,28.46875,14.92928409576416,10875200,KO,4
548,2000-01-31,28.46875,29.375,28.28125,15.060399055480957,10734600,KO,0
576,2000-02-01,28.71875,29.1875,28.15625,15.24065113067627,8114600,KO,1
604,2000-02-02,28.9375,28.9375,28.03125,14.781790733337402,7164000,KO,2
632,2000-02-03,28.1875,28.375,27.53125,14.486817359924316,9464400,KO,3
660,2000-02-04,27.625,28.875,27.53125,14.749019622802734,11501800,KO,4
688,2000-02-07,28.125,28.8125,27.78125,14.91289234161377,7742800,KO,0
716,2000-02-08,28.4375,28.9375,28.375,14.994832992553711,8261200,KO,1
744,2000-02-09,28.59375,28.875,28.375,14.945672035217285,7948600,KO,2
772,2000-02-10,28.5,28.6875,28.125,14.863730430603027,8031000,KO,3
800,2000-02-11,27.96875,27.96875,27.4375,14.568757057189941,7688600,KO,4
828,2000-02-14,27.625,27.625,26.90625,14.1918363571167,7134000,KO,0
856,2000-02-15,27.0625,27.875,26.625,14.601529121398926,7850800,KO,1
884,2000-02-16,27.71875,27.71875,26.625,14.044343948364258,6869200,KO,2
912,2000-02-17,26.78125,26.78125,25.59375,13.716586112976074,11661000,KO,3
940,2000-02-18,26.15625,26.15625,25.375,13.470771789550781,11443400,KO,4
968,2000-02-22,25.6875,26.3125,25.25,13.569095611572266,10543000,KO,1
996,2000-02-23,25.71875,25.71875,25.0,13.437997817993164,11021600,KO,2
1024,2000-02-24,25.25,25.25,24.15625,13.061077117919922,15451600,KO,3
1052,2000-02-25,24.90625,25.34375,24.03125,12.766096115112305,10905200,KO,4
1080,2000-02-28,24.34375,24.84375,23.78125,12.929973602294922,10790800,KO,0
1108,2000-02-29,24.40625,24.40625,23.8125,12.749707221984863,10346200,KO,1
1136,2000-03-01,24.59375,25.6875,24.59375,13.372446060180664,15612200,KO,2
1164,2000-03-02,25.5,25.90625,24.6875,13.011911392211914,11358600,KO,3
1192,2000-03-03,24.8125,25.1875,24.53125,13.143016815185547,9010600,KO,4
1220,2000-03-06,24.75,24.75,24.15625,12.848038673400879,7866000,KO,0
1248,2000-03-07,24.5,24.5,22.40625,12.356401443481445,23440200,KO,1
1276,2000-03-08,23.5625,24.03125,22.9375,12.454728126525879,14441600,KO,2
1304,2000-03-09,23.75,23.78125,22.9375,12.258069038391113,12389400,KO,3
1332,2000-03-10,23.3125,23.3125,22.03125,11.930319786071777,14059200,KO,4
1360,2000-03-13,22.15625,22.15625,21.5625,11.514483451843262,15646400,KO,0
1388,2000-03-14,21.875,22.15625,21.4375,11.399333953857422,11162000,KO,1
1416,2000-03-15,21.75,23.90625,21.75,12.5178804397583,22138200,KO,2
1444,2000-03-16,24.28125,24.9375,24.28125,13.093605995178223,17610200,KO,3
1472,2000-03-17,24.875,24.96875,24.375,12.929115295410156,14530800,KO,4
1500,2000-03-20,24.5,24.5,24.03125,12.781073570251465,6755200,KO,0
1528,2000-03-21,24.28125,24.84375,23.6875,13.011361122131348,8575800,KO,1
1556,2000-03-22,24.5,24.5,23.09375,12.386293411254883,11884200,KO,2
