,date,open,high,low,close,volume,tic,day
17,2000-01-03,39.9375,40.0625,38.9375,22.305389404296875,4520600,MCD,0
45,2000-01-04,39.3125,39.5625,38.375,21.84801483154297,4216500,MCD,1
73,2000-01-05,38.8125,40.375,38.8125,22.199838638305664,5231600,MCD,2
101,2000-01-06,39.125,39.375,38.6875,21.88320541381836,4809400,MCD,3
129,2000-01-07,39.0,40.0,38.875,22.446107864379883,5124700,MCD,4
157,2000-01-10,40.0,41.0,39.75,22.551660537719727,4113900,MCD,0
185,2000-01-11,40.125,41.5,40.125,23.079389572143555,5440200,MCD,1
213,2000-01-12,40.9375,43.0625,40.625,24.06448745727539,8090000,MCD,2
241,2000-01-13,42.6875,43.625,41.875,23.818227767944336,5700200,MCD,3
269,2000-01-14,42.8125,42.8125,41.875,23.98531723022461,3365400,MCD,4
297,2000-01-18,42.375,42.5,41.1875,23.360843658447266,3401100,MCD,1
325,2000-01-19,41.0,42.625,41.0,23.8533935546875,3344700,MCD,2
353,2000-01-20,42.5625,42.5625,41.0,23.958932876586914,3309700,MCD,3
381,2000-01-21,41.625,41.875,40.4375,23.114564895629883,3722600,MCD,4
409,2000-01-24,41.25,41.4375,39.5,22.235027313232422,3593500,MCD,0
437,2000-01-25,39.75,40.25,39.1875,22.41092872619629,3304500,MCD,1
465,2000-01-26,39.625,39.625,34.6875,20.124099731445312,16703200,MCD,2
493,2000-01-27,36.0,37.9375,35.875,21.17955207824707,12082200,MCD,3
521,2000-01-28,37.125,37.4375,36.375,20.687007904052734,4444200,MCD,4
549,2000-01-31,37.25,38.0,37.125,21.038829803466797,4838300,MCD,0
577,2000-02-01,37.4375,37.5625,36.5,20.61664390563965,4679500,MCD,1
605,2000-02-02,36.625,36.75,35.375,19.983375549316406,5769100,MCD,2
633,2000-02-03,35.5625,36.1875,34.4375,19.701915740966797,9225700,MCD,3
661,2000-02-04,35.875,35.875,34.625,19.772274017333984,7752200,MCD,4
689,2000-02-07,35.25,35.625,34.0,19.66673469543457,9992900,MCD,0
717,2000-02-08,36.0,37.625,35.5,20.44074058532715,12144800,MCD,1
745,2000-02-09,36.6875,36.6875,35.375,20.19446563720703,5915400,MCD,2
773,2000-02-10,35.5,36.25,35.125,19.983375549316406,5353400,MCD,3
801,2000-02-11,35.0625,35.4375,34.8125,19.66673469543457,3920500,MCD,4
829,2000-02-14,35.3125,35.3125,33.3125,19.068635940551758,4426400,MCD,0
857,2000-02-15,33.75,34.125,33.4375,18.998279571533203,4669200,MCD,1
885,2000-02-16,33.75,34.4375,33.25,18.787179946899414,3804900,MCD,2
913,2000-02-17,33.5625,34.0625,33.375,18.998279571533203,4272000,MCD,3
941,2000-02-18,33.5625,33.6875,32.3125,18.294635772705078,5494900,MCD,4
969,2000-02-22,32.25,33.1875,32.1875,18.189088821411133,4479500,MCD,1
997,2000-02-23,32.4375,33.375,32.375,18.364999771118164,4927400,MCD,2
1025,2000-02-24,32.125,32.375,31.0,17.661357879638672,6154300,MCD,3
1053,2000-02-25,31.5,31.8125,30.75,17.45026969909668,4551200,MCD,4
1081,2000-02-28,31.25,31.6875,30.625,17.520633697509766,3880600,MCD,0
1109,2000-02-29,31.75,32.4375,31.5625,17.872453689575195,4883900,MCD,1
