,date,open,high,low,close,volume,tic,day
17,2000-01-03,39.9375,40.0625,38.9375,22.305391311645508,4520600,MCD,0
45,2000-01-04,39.3125,39.5625,38.375,21.8480167388916,4216500,MCD,1
73,2000-01-05,38.8125,40.375,38.8125,22.199838638305664,5231600,MCD,2
101,2000-01-06,39.125,39.375,38.6875,21.883193969726562,4809400,MCD,3
129,2000-01-07,39.0,40.0,38.875,22.446115493774414,5124700,MCD,4
157,2000-01-10,40.0,41.0,39.75,22.551651000976562,4113900,MCD,0
185,2000-01-11,40.125,41.5,40.125,23.07938575744629,5440200,MCD,1
213,2000-01-12,40.9375,43.0625,40.625,24.064477920532227,8090000,MCD,2
241,2000-01-13,42.6875,43.625,41.875,23.818199157714844,5700200,MCD,3
269,2000-01-14,42.8125,42.8125,41.875,23.985321044921875,3365400,MCD,4
297,2000-01-18,42.375,42.5,41.1875,23.360851287841797,3401100,MCD,1
325,2000-01-19,41.0,42.625,41.0,23.853384017944336,3344700,MCD,2
353,2000-01-20,42.5625,42.5625,41.0,23.95894432067871,3309700,MCD,3
381,2000-01-21,41.625,41.875,40.4375,23.114572525024414,3722600,MCD,4
409,2000-01-24,41.25,41.4375,39.5,22.235021591186523,3593500,MCD,0
437,2000-01-25,39.75,40.25,39.1875,22.41092872619629,3304500,MCD,1
465,2000-01-26,39.625,39.625,34.6875,20.12409782409668,16703200,MCD,2
493,2000-01-27,36.0,37.9375,35.875,21.1795597076416,12082200,MCD,3
521,2000-01-28,37.125,37.4375,36.375,20.687013626098633,4444200,MCD,4
549,2000-01-31,37.25,38.0,37.125,21.038833618164062,4838300,MCD,0
577,2000-02-01,37.4375,37.5625,36.5,20.61664581298828,4679500,MCD,1
605,2000-02-02,36.625,36.75,35.375,19.98337745666504,5769100,MCD,2
633,2000-02-03,35.5625,36.1875,34.4375,19.701915740966797,9225700,MCD,3
661,2000-02-04,35.875,35.875,34.625,19.772279739379883,7752200,MCD,4
689,2000-02-07,35.25,35.625,34.0,19.666738510131836,9992900,MCD,0
717,2000-02-08,36.0,37.625,35.5,20.440736770629883,12144800,MCD,1
745,2000-02-09,36.6875,36.6875,35.375,20.1944637298584,5915400,MCD,2
773,2000-02-10,35.5,36.25,35.125,19.98337745666504,5353400,MCD,3
801,2000-02-11,35.0625,35.4375,34.8125,19.666738510131836,3920500,MCD,4
829,2000-02-14,35.3125,35.3125,33.3125,19.06864356994629,4426400,MCD,0
857,2000-02-15,33.75,34.125,33.4375,18.998275756835938,4669200,MCD,1
885,2000-02-16,33.75,34.4375,33.25,18.787179946899414,3804900,MCD,2
913,2000-02-17,33.5625,34.0625,33.375,18.998275756835938,4272000,MCD,3
941,2000-02-18,33.5625,33.6875,32.3125,18.294633865356445,5494900,MCD,4
969,2000-02-22,32.25,33.1875,32.1875,18.189088821411133,4479500,MCD,1
997,2000-02-23,32.4375,33.375,32.375,18.36499786376953,4927400,MCD,2
1025,2000-02-24,32.125,32.375,31.0,17.661365509033203,6154300,MCD,3
1053,2000-02-25,31.5,31.8125,30.75,17.450267791748047,4551200,MCD,4
1081,2000-02-28,31.25,31.6875,30.625,17.520631790161133,3880600,MCD,0
1109,2000-02-29,31.75,32.4375,31.5625,17.872451782226562,4883900,MCD,1
1137,2000-03-01,31.875,31.9375,31.125,17.59099769592285,4969800,MCD,2
1165,2000-03-02,31.125,31.4375,30.75,17.379905700683594,4884600,MCD,3
1193,2000-03-03,31.0,32.3125,30.5625,18.189088821411133,5193900,MCD,4
1221,2000-03-06,32.5,32.5,31.125,17.76690101623535,4175100,MCD,0
1249,2000-03-07,31.5,31.5625,29.8125,16.816991806030273,6183300,MCD,1
1277,2000-03-08,30.375,31.25,30.0,17.309541702270508,4015900,MCD,2
1305,2000-03-09,30.625,32.0,30.0,18.013185501098633,4779200,MCD,3
1333,2000-03-10,31.4375,32.375,31.0,17.872451782226562,4819200,MCD,4
1361,2000-03-13,32.0,32.4375,31.3125,18.25945281982422,5659700,MCD,0
1389,2000-03-14,32.4375,32.5,30.0625,17.16881561279297,5235700,MCD,1
1417,2000-03-15,30.6875,32.875,30.4375,18.294633865356445,7044600,MCD,2
1445,2000-03-16,33.375,34.375,32.75,19.174184799194336,8241900,MCD,3
1473,2000-03-17,35.0,35.1875,33.75,19.033449172973633,5463000,MCD,4
1501,2000-03-20,34.25,34.875,34.125,19.45564079284668,2736000,MCD,0
1529,2000-03-21,34.75,35.5,34.5,19.84264373779297,4239900,MCD,1
1557,2000-03-22,35.25,35.75,35.0,19.84264373779297,3754000,MCD,2
1585,2000-03-23,34.0,35.9375,33.9375,19.80746078491211,4034900,MCD,3
1613,2000-03-24,35.125,35.9375,34.6875,19.59636688232422,3188100,MCD,4
1641,2000-03-27,34.1875,35.1875,34.125,19.561185836791992,2189900,MCD,0
1669,2000-03-28,34.0,35.375,34.0,19.772279739379883,2963500,MCD,1
1697,2000-03-29,34.875,37.0625,34.8125,20.722196578979492,5292800,MCD,2
1725,2000-03-30,36.8125,38.25,36.8125,21.1795597076416,4939100,MCD,3
1753,2000-03-31,37.875,37.9375,36.8125,21.038833618164062,3738300,MCD,4
1781,2000-04-03,37.8125,38.625,37.5625,21.672109603881836,4459400,MCD,0
1809,2000-04-04,38.6875,39.3125,37.6875,21.689695358276367,5145500,MCD,1
1837,2000-04-05,38.0,38.625,37.25,21.707294464111328,4143600,MCD,2
1865,2000-04-06,37.75,38.0625,36.875,20.8277530670166,4124100,MCD,3
1893,2000-04-07,36.375,37.3125,36.125,20.8277530670166,3155400,MCD,4
1921,2000-04-10,36.875,36.9375,35.875,20.475919723510742,3234600,MCD,0
1949,2000-04-11,36.125,37.75,35.875,21.214736938476562,3354100,MCD,1
1977,2000-04-12,37.25,38.1875,36.3125,20.440736770629883,4548200,MCD,2
2005,2000-04-13,36.0,36.0,34.125,19.209373474121094,7400300,MCD,3
2033,2000-04-14,33.5625,34.8125,33.0,18.892728805541992,5744700,MCD,4
