,date,open,high,low,close,volume,tic,day
18,2000-01-03,48.03125,48.25,47.03125,25.143314361572266,2173400,MMM,0
46,2000-01-04,46.4375,47.40625,45.3125,24.144245147705078,2713800,MMM,1
74,2000-01-05,45.5625,48.125,45.5625,24.84360122680664,3699400,MMM,2
102,2000-01-06,47.15625,51.25,47.15625,26.841745376586914,5975800,MMM,3
130,2000-01-07,50.5625,51.90625,49.96875,27.37457847595215,4101200,MMM,4
158,2000-01-10,50.21875,51.75,50.0,27.241382598876953,3863800,MMM,0
186,2000-01-11,50.375,51.25,50.25,26.775146484375,2357600,MMM,1
214,2000-01-12,50.96875,51.8125,50.375,26.841745376586914,2868400,MMM,2
242,2000-01-13,50.65625,50.9375,50.1875,26.841745376586914,2244400,MMM,3
270,2000-01-14,50.375,50.46875,49.46875,26.458765029907227,2541800,MMM,4
298,2000-01-18,48.625,49.625,48.5625,25.87596893310547,2114800,MMM,1
326,2000-01-19,48.875,49.96875,48.875,26.325557708740234,2628200,MMM,2
354,2000-01-20,49.53125,49.6875,47.25,25.343143463134766,3104600,MMM,3
382,2000-01-21,47.625,48.28125,47.28125,25.293180465698242,4491800,MMM,4
410,2000-01-24,47.90625,47.90625,45.8125,24.710399627685547,2971000,MMM,0
438,2000-01-25,47.4375,47.4375,45.125,24.344064712524414,3691200,MMM,1
466,2000-01-26,47.9375,48.75,47.65625,25.659509658813477,7020800,MMM,2
494,2000-01-27,48.59375,49.15625,48.03125,25.642864227294922,2914800,MMM,3
522,2000-01-28,47.875,47.90625,46.125,24.577194213867188,3747400,MMM,4
550,2000-01-31,46.125,48.6875,46.03125,24.943506240844727,3282800,MMM,0
578,2000-02-01,47.1875,48.09375,46.875,25.076717376708984,2642200,MMM,1
606,2000-02-02,46.59375,47.0,46.0,24.643787384033203,2924200,MMM,2
634,2000-02-03,45.96875,46.0625,45.0,24.427318572998047,3520600,MMM,3
662,2000-02-04,45.96875,46.21875,44.53125,23.727970123291016,3293400,MMM,4
690,2000-02-07,44.625,44.6875,43.3125,23.344999313354492,3935400,MMM,0
718,2000-02-08,43.8125,45.09375,43.71875,23.36163330078125,2884000,MMM,1
746,2000-02-09,44.3125,44.5,43.75,23.344999313354492,2600400,MMM,2
774,2000-02-10,43.625,43.625,42.65625,22.912057876586914,4020000,MMM,3
802,2000-02-11,42.6875,43.25,40.65625,22.09615135192871,4491600,MMM,4
830,2000-02-14,41.625,42.375,41.1875,22.079500198364258,3356400,MMM,0
858,2000-02-15,41.875,45.28125,41.75,23.744626998901367,3736000,MMM,1
886,2000-02-16,44.1875,45.1875,43.78125,23.52815818786621,2581800,MMM,2
914,2000-02-17,44.5,45.9375,44.46875,23.877824783325195,3405400,MMM,3
942,2000-02-18,44.9375,45.34375,43.1875,23.328340530395508,2864200,MMM,4
970,2000-02-22,43.875,45.21875,43.25,24.011037826538086,2884600,MMM,1
998,2000-02-23,45.6875,46.96875,45.40625,24.753135681152344,4460800,MMM,2
1026,2000-02-24,45.9375,46.0625,44.78125,24.401195526123047,3800200,MMM,3
1054,2000-02-25,44.0625,44.65625,42.59375,22.993432998657227,3627200,MMM,4
1082,2000-02-28,43.46875,44.4375,42.5,23.17778778076172,3076600,MMM,0
1110,2000-02-29,42.65625,44.59375,42.3125,23.64703369140625,2765400,MMM,1
1138,2000-03-01,43.59375,43.875,42.53125,23.09398078918457,2891600,MMM,2
1166,2000-03-02,43.0625,43.875,42.84375,23.07721710205078,2186000,MMM,3
1194,2000-03-03,43.875,47.3125,43.75,23.998973846435547,4581000,MMM,4
1222,2000-03-06,44.65625,45.625,43.625,23.395645141601562,2052600,MMM,0
1250,2000-03-07,44.125,44.4375,41.0,22.188997268676758,5195600,MMM,1
1278,2000-03-08,41.4375,42.125,40.5,22.13871955871582,4693200,MMM,2
1306,2000-03-09,40.40625,40.96875,40.25,21.702983856201172,3258200,MMM,3
1334,2000-03-10,40.3125,41.34375,40.1875,21.853818893432617,5751600,MMM,4
1362,2000-03-13,39.5,40.25,39.375,21.183448791503906,3787800,MMM,0
1390,2000-03-14,39.59375,40.0,39.28125,21.21697425842285,3156600,MMM,1
