,date,open,high,low,close,volume,tic,day
19,2000-01-03,65.48187255859375,65.48187255859375,63.45419692993164,27.253019332885742,6265782,MRK,0
47,2000-01-04,63.931297302246094,64.70658111572266,61.78435134887695,26.295888900756836,7894689,MRK,1
75,2000-01-05,62.08253860473633,65.72042083740234,62.08253860473633,27.328584671020508,7963018,MRK,2
103,2000-01-06,64.70658111572266,66.01860809326172,64.58731079101562,27.555273056030273,4989004,MRK,3
131,2000-01-07,66.61498260498047,71.80343627929688,66.43606567382812,30.199981689453125,10871218,MRK,4
159,2000-01-10,71.32633972167969,71.38597106933594,68.82156372070312,29.318397521972656,6001686,MRK,0
187,2000-01-11,68.76192474365234,70.3125,68.10591888427734,29.419157028198242,5264418,MRK,1
215,2000-01-12,70.25286102294922,71.7437973022461,70.0739517211914,29.998476028442383,5229939,MRK,2
243,2000-01-13,71.38597106933594,72.63835906982422,70.43177795410156,30.12440299987793,5610468,MRK,3
271,2000-01-14,71.80343627929688,72.4594497680664,69.3582992553711,29.872529983520508,5806130,MRK,4
299,2000-01-18,69.77576446533203,70.19322204589844,67.33062744140625,28.537588119506836,5554086,MRK,1
327,2000-01-19,68.46373748779297,69.3582992553711,67.98664093017578,28.814655303955078,4990157,MRK,2
355,2000-01-20,68.64265441894531,69.83540344238281,68.1655502319336,29.393978118896484,5225642,MRK,3
383,2000-01-21,71.08778381347656,71.08778381347656,68.28482818603516,29.192466735839844,8309487,MRK,4
411,2000-01-24,69.65648651123047,69.65648651123047,65.89933013916016,28.31090545654297,5438177,MRK,0
439,2000-01-25,67.86736297607422,68.7022933959961,67.39026641845703,28.562767028808594,5707513,MRK,1
467,2000-01-26,67.74809265136719,69.65648651123047,67.39026641845703,29.343603134155273,5614660,MRK,2
495,2000-01-27,69.77576446533203,71.98234558105469,69.65648651123047,29.872529983520508,8119066,MRK,3
523,2000-01-28,72.04198455810547,74.84494018554688,71.80343627929688,30.779293060302734,10294504,MRK,4
551,2000-01-31,72.22089385986328,75.38167572021484,71.14742279052734,31.686038970947266,8390602,MRK,0
579,2000-02-01,73.83110809326172,74.36784362792969,72.04198455810547,30.955610275268555,5267667,MRK,1
607,2000-02-02,73.77146911621094,74.7853012084961,72.4594497680664,30.980789184570312,4865550,MRK,2
635,2000-02-03,72.81726837158203,73.17509460449219,71.9227066040039,30.728906631469727,4059952,MRK,3
663,2000-02-04,73.35401153564453,73.35401153564453,71.5052490234375,30.250356674194336,4466681,MRK,4
691,2000-02-07,70.84923553466797,71.98234558105469,70.37213897705078,30.3259220123291,4370370,MRK,0
719,2000-02-08,72.04198455810547,72.39981079101562,71.62451934814453,30.40146255493164,4128282,MRK,1
747,2000-02-09,70.72996520996094,70.78959655761719,67.62881469726562,28.764278411865234,7259810,MRK,2
775,2000-02-10,66.79389190673828,67.03244018554688,64.885498046875,27.80714988708496,7356436,MRK,3
803,2000-02-11,64.52767181396484,65.00476837158203,61.36688995361328,26.295888900756836,9655643,MRK,4
831,2000-02-14,62.5,63.394561767578125,61.068702697753906,26.62333869934082,9361889,MRK,0
859,2000-02-15,62.738548278808594,63.5734748840332,62.14217758178711,26.447010040283203,6683201,MRK,1
887,2000-02-16,62.5,64.1102066040039,62.261451721191406,26.396642684936523,5383995,MRK,2
915,2000-02-17,63.334922790527344,63.63311004638672,60.23377990722656,25.48988914489746,7269871,MRK,3
943,2000-02-18,60.53196716308594,61.4265251159668,58.74284362792969,24.98613739013672,6934721,MRK,4
971,2000-02-22,59.63740539550781,62.5,58.98139190673828,26.396642684936523,9640971,MRK,1
999,2000-02-23,62.97710037231445,62.97710037231445,60.23377990722656,25.439516067504883,8099468,MRK,2
1027,2000-02-24,60.412689208984375,60.412689208984375,57.907920837402344,24.98613739013672,9502006,MRK,3
1055,2000-02-25,58.265743255615234,58.683204650878906,56.47662353515625,24.255685806274414,8070962,MRK,4
1083,2000-02-28,57.43082046508789,59.100669860839844,57.25190734863281,24.809816360473633,8895634,MRK,0
1111,2000-02-29,59.57776641845703,60.23377990722656,58.56393051147461,24.809816360473633,8243778,MRK,1
1139,2000-03-01,58.683204650878906,58.921756744384766,57.01335906982422,24.294578552246094,7289574,MRK,2
1167,2000-03-02,57.311546325683594,57.96755599975586,56.536258697509766,23.990888595581055,6167061,MRK,3
1195,2000-03-03,57.311546325683594,57.37118148803711,54.448951721191406,23.28230094909668,10706892,MRK,4
1223,2000-03-06,54.8067741394043,55.10496139526367,53.67366409301758,22.87738800048828,9103138,MRK,0
1251,2000-03-07,53.435115814208984,53.435115814208984,49.61832046508789,21.83980941772461,13544142,MRK,1
1279,2000-03-08,51.467079162597656,54.8067741394043,51.467079162597656,23.003929138183594,12569712,MRK,2
1307,2000-03-09,55.82061004638672,58.80248260498047,55.04532241821289,24.75010108947754,12869650,MRK,3
1335,2000-03-10,58.921756744384766,59.04103088378906,56.29771041870117,24.117422103881836,8712967,MRK,4
1363,2000-03-13,53.792938232421875,55.04532241821289,53.55438995361328,23.0798397064209,9302991,MRK,0
1391,2000-03-14,53.31584167480469,54.15076446533203,52.838741302490234,22.87738800048828,7484082,MRK,1
1419,2000-03-15,53.67366409301758,57.25190734863281,53.4947509765625,24.21865463256836,9626509,MRK,2
1447,2000-03-16,57.669368743896484,62.67891311645508,57.43082046508789,26.319122314453125,15846598,MRK,3
1475,2000-03-17,61.96326446533203,62.02289962768555,59.81631851196289,25.408079147338867,8924139,MRK,4
1503,2000-03-20,58.80248260498047,59.33921813964844,57.55009460449219,24.952556610107422,6412398,MRK,0
1531,2000-03-21,58.80248260498047,61.068702697753906,58.74284362792969,25.8889102935791,5390283,MRK,1
1559,2000-03-22,60.17414093017578,61.96326446533203,60.114505767822266,26.09134864807129,5527362,MRK,2
1587,2000-03-23,60.651241302490234,61.78435134887695,59.69704055786133,25.45867156982422,5059849,MRK,3
1615,2000-03-24,59.9952278137207,60.114505767822266,57.60973358154297,25.003170013427734,7016989,MRK,4
1643,2000-03-27,58.086830139160156,58.74284362792969,57.132633209228516,24.75010108947754,5846268,MRK,0
1671,2000-03-28,57.01335906982422,59.63740539550781,57.01335906982422,24.927242279052734,7956416,MRK,1
1699,2000-03-29,60.054866790771484,62.02289962768555,59.63740539550781,25.91421127319336,7385466,MRK,2
1727,2000-03-30,61.068702697753906,62.91746139526367,60.88978958129883,25.939523696899414,6606173,MRK,3
1755,2000-03-31,60.88978958129883,61.96326446533203,59.279579162597656,25.155006408691406,5934405,MRK,4
1783,2000-04-03,59.518131256103516,63.931297302246094,59.518131256103516,27.0277099609375,8014266,MRK,0
1811,2000-04-04,65.18368530273438,66.55534362792969,62.261451721191406,27.40732192993164,12605134,MRK,1
1839,2000-04-05,64.82585906982422,65.36259460449219,63.87165832519531,27.635074615478516,6547485,MRK,2
1867,2000-04-06,63.931297302246094,63.990936279296875,61.665077209472656,26.546886444091797,6526944,MRK,3
1895,2000-04-07,62.3807258605957,63.63311004638672,62.02289962768555,26.521575927734375,3481875,MRK,4
1923,2000-04-10,62.08253860473633,65.1240463256836,62.08253860473633,26.87586784362793,4936918,MRK,0
1951,2000-04-11,63.394561767578125,64.885498046875,63.334922790527344,27.255470275878906,5979783,MRK,1
1979,2000-04-12,64.46803283691406,64.6469497680664,61.90362548828125,26.268505096435547,6120425,MRK,2
2007,2000-04-13,62.3807258605957,63.931297302246094,62.14217758178711,26.648101806640625,5105542,MRK,3
2035,2000-04-14,61.96326446533203,62.6192741394043,59.69704055786133,25.737064361572266,6451069,MRK,4
2063,2000-04-17,60.83015441894531,61.78435134887695,59.04103088378906,26.09134864807129,6561633,MRK,0
2091,2000-04-18,61.3072509765625,63.334922790527344,61.068702697753906,26.825254440307617,4821534,MRK,1
2119,2000-04-19,62.97710037231445,66.55534362792969,62.559635162353516,27.938758850097656,8569182,MRK,2
2147,2000-04-20,65.8396987915039,67.03244018554688,65.78005981445312,28.242431640625,6856016,MRK,3
2175,2000-04-24,66.67462158203125,68.8812026977539,66.55534362792969,29.128190994262695,7771758,MRK,0
2203,2000-04-25,68.64265441894531,69.47757720947266,66.67462158203125,29.355955123901367,7010177,MRK,1
2231,2000-04-26,68.7022933959961,68.8812026977539,67.03244018554688,29.128190994262695,4841131,MRK,2
2259,2000-04-27,67.98664093017578,69.29866027832031,67.56917572021484,28.951038360595703,5916274,MRK,3
2287,2000-04-28,66.43606567382812,67.09207916259766,64.46803283691406,28.141212463378906,8456312,MRK,4
2315,2000-05-01,66.3167953491211,66.37643432617188,64.46803283691406,27.356700897216797,5406632,MRK,0
2343,2000-05-02,63.990936279296875,66.85353088378906,63.87165832519531,28.039981842041016,4705730,MRK,1
2371,2000-05-03,65.8396987915039,66.67462158203125,64.885498046875,27.660385131835938,4195982,MRK,2
2399,2000-05-04,65.42223358154297,65.48187255859375,63.931297302246094,27.204864501953125,3570012,MRK,3
2427,2000-05-05,63.8120231628418,66.7342529296875,63.6927490234375,28.039981842041016,3832850,MRK,4
2455,2000-05-08,66.7342529296875,67.27098846435547,65.8396987915039,28.293045043945312,4484706,MRK,0
2483,2000-05-09,66.79389190673828,66.85353088378906,65.54151153564453,27.913454055786133,3860203,MRK,1
2511,2000-05-10,65.54151153564453,65.60114288330078,63.6927490234375,27.533849716186523,4449913,MRK,2
2539,2000-05-11,65.1240463256836,65.54151153564453,63.990936279296875,27.635074615478516,4217886,MRK,3
2567,2000-05-12,65.18368530273438,65.78005981445312,64.22948455810547,27.584470748901367,3186863,MRK,4
2595,2000-05-15,65.1240463256836,66.7342529296875,64.40839385986328,28.19182777404785,3349722,MRK,0
2623,2000-05-16,66.43606567382812,68.22518920898438,65.8396987915039,28.748584747314453,5361149,MRK,1
2651,2000-05-17,67.27098846435547,68.10591888427734,66.43606567382812,28.267738342285156,3518450,MRK,2
2679,2000-05-18,66.55534362792969,67.44990539550781,66.55534362792969,28.318340301513672,2987324,MRK,3
2707,2000-05-19,66.01860809326172,69.59684753417969,66.01860809326172,29.330636978149414,7394059,MRK,4
2735,2000-05-22,68.7022933959961,70.25286102294922,68.40410614013672,29.280038833618164,6583117,MRK,0
2763,2000-05-23,70.13359069824219,70.43177795410156,69.29866027832031,29.88737678527832,5079970,MRK,1
2791,2000-05-24,70.61068725585938,71.56488800048828,69.95467376708984,30.216379165649414,7496239,MRK,2
2819,2000-05-25,70.78959655761719,71.62451934814453,70.01431274414062,30.241689682006836,4710026,MRK,3
2847,2000-05-26,71.20706176757812,71.9227066040039,70.61068725585938,30.191072463989258,3582798,MRK,4
2875,2000-05-30,70.72996520996094,71.68415832519531,70.3125,30.36821937561035,4554922,MRK,1
2903,2000-05-31,70.78959655761719,71.5052490234375,70.43177795410156,30.333667755126953,2964268,MRK,2
2931,2000-06-01,70.67032623291016,71.7437973022461,68.94084167480469,29.44448471069336,4032390,MRK,3
2959,2000-06-02,69.00048065185547,69.00048065185547,65.66078186035156,28.021808624267578,6516359,MRK,4
2987,2000-06-05,65.8396987915039,67.21135711669922,65.54151153564453,28.12343406677246,4650186,MRK,0
3015,2000-06-06,66.19751739501953,66.9728012084961,65.60114288330078,28.288570404052734,3428951,MRK,1
3043,2000-06-07,66.7342529296875,68.22518920898438,66.67462158203125,28.65692710876465,2805286,MRK,2
3071,2000-06-08,67.27098846435547,67.33062744140625,65.95896911621094,28.174245834350586,2538256,MRK,3
3099,2000-06-09,66.13787841796875,67.03244018554688,65.72042083740234,28.40287971496582,2844377,MRK,4
3127,2000-06-12,66.91316986083984,68.46373748779297,66.61498260498047,28.42827033996582,2731926,MRK,0
3155,2000-06-13,67.39026641845703,70.49140930175781,67.27098846435547,29.850975036621094,4420988,MRK,1
3183,2000-06-14,70.3125,70.90887451171875,68.7022933959961,29.64773178100586,5910196,MRK,2
3211,2000-06-15,69.65648651123047,70.37213897705078,69.17938995361328,29.596921920776367,3930838,MRK,3
3239,2000-06-16,69.23902893066406,69.95467376708984,67.74809265136719,28.860172271728516,11078722,MRK,4
3267,2000-06-19,68.22518920898438,69.41793823242188,67.62881469726562,29.29206085205078,3452741,MRK,0
3295,2000-06-20,68.76192474365234,68.76192474365234,67.09207916259766,28.809362411499023,3641486,MRK,1
3323,2000-06-21,67.5095443725586,69.1197509765625,67.09207916259766,29.44448471069336,4136351,MRK,2
3351,2000-06-22,68.34446716308594,69.00048065185547,67.74809265136719,28.961790084838867,3812414,MRK,3
3379,2000-06-23,69.06011199951172,69.29866027832031,68.22518920898438,29.520706176757812,4701642,MRK,4
3407,2000-06-26,69.89503479003906,70.84923553466797,69.59684753417969,30.181230545043945,5490262,MRK,0
3435,2000-06-27,71.20706176757812,71.44561004638672,70.0739517211914,30.181230545043945,6272699,MRK,1
3463,2000-06-28,70.5510482788086,70.96851348876953,70.19322204589844,30.079607009887695,3317339,MRK,2
3491,2000-06-29,71.38597106933594,71.80343627929688,70.61068725585938,30.12407875061035,5350145,MRK,3
3519,2000-06-30,70.72996520996094,73.2198257446289,69.89503479003906,31.146625518798828,7554822,MRK,4
3547,2000-07-03,72.57872009277344,73.17509460449219,71.9227066040039,31.08310890197754,3079443,MRK,0
3575,2000-07-05,73.35401153564453,73.83110809326172,72.81726837158203,31.375274658203125,4946455,MRK,2
3603,2000-07-06,72.99618530273438,73.1154556274414,71.5052490234375,30.63852310180664,4763894,MRK,3
3631,2000-07-07,71.9227066040039,72.04198455810547,70.5510482788086,30.23204803466797,4085733,MRK,4
3659,2000-07-10,70.84923553466797,71.44561004638672,70.49140930175781,30.435277938842773,4011325,MRK,0
3687,2000-07-11,71.44561004638672,72.39981079101562,70.13359069824219,30.359079360961914,4685503,MRK,1
3715,2000-07-12,70.84923553466797,70.96851348876953,69.00048065185547,29.8319091796875,3869740,MRK,2
3743,2000-07-13,69.95467376708984,69.95467376708984,65.8396987915039,28.098020553588867,8477167,MRK,3
3771,2000-07-14,65.89933013916016,66.3167953491211,63.45419692993164,27.33586883544922,8658262,MRK,4
3799,2000-07-17,63.931297302246094,65.36259460449219,63.6927490234375,27.386680603027344,10876039,MRK,0
3827,2000-07-18,64.16984558105469,64.52767181396484,63.03673553466797,26.980192184448242,6944991,MRK,1
3855,2000-07-19,63.156009674072266,63.6927490234375,62.05271911621094,26.522905349731445,6897936,MRK,2
3883,2000-07-20,62.08253860473633,62.14217758178711,60.94942855834961,26.040210723876953,5778043,MRK,3
3911,2000-07-21,61.247615814208984,61.72471237182617,60.114505767822266,25.913179397583008,8120847,MRK,4
3939,2000-07-24,63.6927490234375,66.91316986083984,63.45419692993164,28.27585792541504,14382962,MRK,0
3967,2000-07-25,66.25715637207031,68.58301544189453,65.72042083740234,28.822067260742188,11350783,MRK,1
3995,2000-07-26,68.10591888427734,68.40410614013672,66.55534362792969,28.453689575195312,6114032,MRK,2
4023,2000-07-27,67.5095443725586,69.41793823242188,66.79389190673828,29.40639305114746,4222392,MRK,3
4051,2000-07-28,69.65648651123047,69.77576446533203,69.1197509765625,29.58422088623047,4358527,MRK,4
4079,2000-07-31,68.76192474365234,69.00048065185547,67.09207916259766,29.126934051513672,3916271,MRK,0
4107,2000-08-01,67.86736297607422,70.84923553466797,67.86736297607422,30.11773109436035,4829394,MRK,1
4135,2000-08-02,70.84923553466797,71.80343627929688,70.25286102294922,30.48609733581543,4731091,MRK,2
4163,2000-08-03,71.68415832519531,71.98234558105469,71.08778381347656,30.57501220703125,4532914,MRK,3
4191,2000-08-04,70.72996520996094,70.96851348876953,69.71612548828125,30.00339698791504,3296170,MRK,4
4219,2000-08-07,70.37213897705078,70.37213897705078,69.41793823242188,29.685840606689453,4050625,MRK,0
4247,2000-08-08,69.3582992553711,70.0739517211914,68.40410614013672,29.412729263305664,4243771,MRK,1
4275,2000-08-09,68.10591888427734,70.01431274414062,66.79389190673828,28.68235206604004,6504726,MRK,2
4303,2000-08-10,67.6884536743164,68.76192474365234,67.21135711669922,29.050704956054688,4499274,MRK,3
4331,2000-08-11,68.04627990722656,69.77576446533203,68.04627990722656,29.431793212890625,2987324,MRK,4
4359,2000-08-14,69.06011199951172,69.77576446533203,68.94084167480469,29.609615325927734,2456302,MRK,0
4387,2000-08-15,69.89503479003906,70.25286102294922,69.17938995361328,29.774768829345703,3133939,MRK,1
4415,2000-08-16,69.95467376708984,70.90887451171875,69.89503479003906,29.92718505859375,2335363,MRK,2
4443,2000-08-17,70.13359069824219,70.96851348876953,69.77576446533203,30.05420684814453,2772694,MRK,3
4471,2000-08-18,69.83540344238281,69.95467376708984,68.22518920898438,29.266645431518555,4252365,MRK,4
4499,2000-08-21,68.10591888427734,69.53721618652344,68.10591888427734,29.215829849243164,2453368,MRK,0
4527,2000-08-22,68.7022933959961,69.65648651123047,68.46373748779297,29.469898223876953,2890489,MRK,1
4555,2000-08-23,69.17938995361328,69.95467376708984,68.52337646484375,29.368267059326172,3268817,MRK,2
4583,2000-08-24,68.82156372070312,69.77576446533203,68.04627990722656,29.469898223876953,2820692,MRK,3
4611,2000-08-25,69.17938995361328,69.77576446533203,68.82156372070312,29.64773178100586,2587093,MRK,4
4639,2000-08-28,69.53721618652344,70.3125,69.06011199951172,29.45720100402832,2999376,MRK,0
4667,2000-08-29,69.17938995361328,69.17938995361328,67.44990539550781,28.93638801574707,3116333,MRK,1
4695,2000-08-30,67.33062744140625,68.1655502319336,66.79389190673828,29.049734115600586,3163598,MRK,2
4723,2000-08-31,67.74809265136719,68.82156372070312,66.67462158203125,28.545568466186523,5503153,MRK,3
4751,2000-09-01,65.89933013916016,66.91316986083984,65.89933013916016,28.258392333984375,3800572,MRK,4
