,date,open,high,low,close,volume,tic,day
21,2000-01-03,6.164062976837158,6.195312976837158,5.96875,4.686253547668457,8014400,NKE,0
49,2000-01-04,5.875,5.914062976837158,5.671875,4.430639266967773,9810400,NKE,1
77,2000-01-05,5.71875,6.046875,5.71875,4.686253547668457,6542400,NKE,2
105,2000-01-06,5.984375,5.984375,5.820312976837158,4.66190767288208,4891200,NKE,3
133,2000-01-07,5.960937976837158,6.0,5.875,4.66190767288208,3993600,NKE,4
161,2000-01-10,6.015625,6.117187976837158,6.0,4.741026401519775,3946400,NKE,0
189,2000-01-11,6.171875,6.53125,6.15625,4.978382587432861,10976000,NKE,1
217,2000-01-12,6.359375,6.375,6.140625,4.8079752922058105,10050400,NKE,2
245,2000-01-13,6.132812976837158,6.304687976837158,6.054687976837158,4.868833541870117,5144800,NKE,3
273,2000-01-14,6.328125,6.484375,6.296875,4.99664306640625,7680800,NKE,4
301,2000-01-18,6.34375,6.453125,6.257812976837158,4.929697036743164,8356000,NKE,1
329,2000-01-19,6.46875,6.6875,6.429687976837158,5.142708778381348,10299200,NKE,2
357,2000-01-20,6.65625,6.671875,6.40625,5.020986557006836,5103200,NKE,3
385,2000-01-21,6.445312976837158,6.445312976837158,6.3125,4.9357829093933105,10265600,NKE,4
413,2000-01-24,6.203125,6.28125,6.15625,4.838405609130859,5733600,NKE,0
441,2000-01-25,6.195312976837158,6.265625,6.0625,4.759283065795898,3823200,NKE,1
469,2000-01-26,5.765625,6.21875,5.765625,4.820146083831787,12886400,NKE,2
497,2000-01-27,6.0,6.078125,5.796875,4.601046562194824,6304000,NKE,3
525,2000-01-28,5.875,5.875,5.75,4.564530849456787,3556000,NKE,4
553,2000-01-31,5.75,5.773437976837158,5.679687976837158,4.430639266967773,4627200,NKE,0
581,2000-02-01,5.679687976837158,5.890625,5.65625,4.546276092529297,5971200,NKE,1
609,2000-02-02,5.828125,6.0625,5.773437976837158,4.6193084716796875,5572800,NKE,2
637,2000-02-03,5.914062976837158,5.984375,5.820312976837158,4.66190767288208,3973600,NKE,3
665,2000-02-04,5.984375,5.984375,5.828125,4.546276092529297,12485600,NKE,4
693,2000-02-07,5.828125,5.828125,5.585937976837158,4.406295299530029,6455200,NKE,0
721,2000-02-08,5.625,5.625,4.515625,3.6029374599456787,65707200,NKE,1
749,2000-02-09,4.5625,4.5625,4.046875,3.286463737487793,62571200,NKE,2
777,2000-02-10,4.171875,4.351562976837158,4.109375,3.286463737487793,25032800,NKE,3
805,2000-02-11,4.265625,4.3125,4.140625,3.310807704925537,12644800,NKE,4
833,2000-02-14,4.1875,4.257812976837158,4.015625,3.1464853286743164,17859200,NKE,0
861,2000-02-15,4.007812976837158,4.015625,3.78125,2.9639039039611816,30056000,NKE,1
889,2000-02-16,3.804687976837158,3.84375,3.65625,2.872612237930298,22678400,NKE,2
917,2000-02-17,3.664062976837158,3.734375,3.601562976837158,2.823923349380493,14977600,NKE,3
945,2000-02-18,3.609375,3.640625,3.421875,2.7265467643737793,26087200,NKE,4
973,2000-02-22,3.578125,3.59375,3.375,2.629171133041382,12847200,NKE,1
1001,2000-02-23,3.53125,3.5625,3.492187976837158,2.7326323986053467,12624800,NKE,2
1029,2000-02-24,3.5,3.507812976837158,3.328125,2.635256290435791,16156800,NKE,3
1057,2000-02-25,3.375,3.382812976837158,3.3125,2.5865697860717773,14830400,NKE,4
1085,2000-02-28,3.367187976837158,3.53125,3.351562976837158,2.7143759727478027,16385600,NKE,0
1113,2000-02-29,3.484375,3.640625,3.484375,2.7691497802734375,12575200,NKE,1
1141,2000-03-01,3.554687976837158,3.585937976837158,3.492187976837158,2.7387194633483887,9884800,NKE,2
1169,2000-03-02,3.546875,3.742187976837158,3.515625,2.8665263652801514,11260800,NKE,3
1197,2000-03-03,3.757812976837158,3.78125,3.640625,2.8604395389556885,6912800,NKE,4
1225,2000-03-06,3.6875,3.703125,3.523437976837158,2.775235652923584,7684800,NKE,0
1253,2000-03-07,3.59375,3.601562976837158,3.460937976837158,2.7143759727478027,9532000,NKE,1
1281,2000-03-08,3.40625,3.453125,3.375,2.6535143852233887,10000000,NKE,2
1309,2000-03-09,3.390625,3.40625,3.226562976837158,2.6048266887664795,14059200,NKE,3
1337,2000-03-10,3.367187976837158,3.429687976837158,3.351562976837158,2.616999387741089,12566400,NKE,4
1365,2000-03-13,3.390625,3.65625,3.3125,2.799579620361328,20965600,NKE,0
1393,2000-03-14,3.625,3.765625,3.53125,2.8117516040802,18244000,NKE,1
1421,2000-03-15,3.578125,4.1875,3.570312976837158,3.2134311199188232,25912800,NKE,2
1449,2000-03-16,4.117187976837158,4.75,3.921875,3.4875574111938477,17427200,NKE,3
1477,2000-03-17,4.328125,4.515625,4.015625,3.316838264465332,30021600,NKE,4
1505,2000-03-20,4.039062976837158,4.171875,4.039062976837158,3.21928334236145,14386400,NKE,0
1533,2000-03-21,4.140625,4.179687976837158,4.03125,3.2314774990081787,13809600,NKE,1
1561,2000-03-22,4.28125,4.3125,4.179687976837158,3.2924506664276123,11780000,NKE,2
1589,2000-03-23,4.203125,4.328125,4.15625,3.316838264465332,12538400,NKE,3
1617,2000-03-24,4.25,4.3125,4.210937976837158,3.304643392562866,7305600,NKE,4
1645,2000-03-27,4.5,4.53125,4.375,3.5058481693267822,16704800,NKE,0
1673,2000-03-28,4.523437976837158,4.601562976837158,4.46875,3.5912091732025146,9060800,NKE,1
1701,2000-03-29,4.601562976837158,4.90625,4.601562976837158,3.804607391357422,17080800,NKE,2
1729,2000-03-30,4.882812976837158,4.890625,4.710937976837158,3.774122476577759,13088800,NKE,3
1757,2000-03-31,4.84375,5.0,4.804687976837158,3.865579605102539,15036800,NKE,4
1785,2000-04-03,5.125,5.125,5.0,3.9021618366241455,14220800,NKE,0
