,date,open,high,low,close,volume,tic,day
23,2000-01-03,33.25,33.25,32.625,18.204496383666992,336400,TRV,0
51,2000-01-04,32.5,33.0,32.1875,17.96314239501953,494400,TRV,1
79,2000-01-05,32.5625,33.3125,32.25,17.825239181518555,736000,TRV,2
107,2000-01-06,32.3125,33.375,31.8125,18.170013427734375,660400,TRV,3
135,2000-01-07,33.4375,34.75,33.3125,18.89406394958496,594700,TRV,4
163,2000-01-10,34.75,34.75,33.125,18.549278259277344,389900,TRV,0
191,2000-01-11,33.375,33.75,32.875,18.342418670654297,812900,TRV,1
219,2000-01-12,33.0,33.625,32.75,18.37688636779785,561500,TRV,2
247,2000-01-13,33.3125,34.1875,33.3125,18.756147384643555,589600,TRV,3
275,2000-01-14,33.9375,34.6875,33.625,18.756147384643555,599300,TRV,4
303,2000-01-18,33.75,33.75,32.5,18.066579818725586,945900,TRV,1
331,2000-01-19,32.5,33.25,32.375,18.101058959960938,988100,TRV,2
359,2000-01-20,32.75,32.8125,32.25,17.997629165649414,943400,TRV,3
387,2000-01-21,32.0,32.0625,31.0,17.377016067504883,1000300,TRV,4
415,2000-01-24,31.625,32.4375,31.3125,17.721799850463867,586500,TRV,0
443,2000-01-25,32.125,32.8125,31.25,17.308053970336914,609700,TRV,1
471,2000-01-26,31.4375,32.4375,31.1875,17.859712600708008,503300,TRV,2
499,2000-01-27,32.0,32.375,29.8125,16.85984230041504,1316500,TRV,3
527,2000-01-28,30.0625,30.1875,29.3125,16.549535751342773,814900,TRV,4
555,2000-01-31,29.8125,30.1875,29.125,16.652965545654297,612200,TRV,0
583,2000-02-01,30.0,30.0,27.5,16.17028045654297,1023000,TRV,1
611,2000-02-02,29.375,29.375,27.5,15.377275466918945,1416900,TRV,2
639,2000-02-03,27.875,27.875,26.375,14.687716484069824,1374600,TRV,3
667,2000-02-04,26.75,27.1875,25.75,14.756678581237793,1507200,TRV,4
695,2000-02-07,26.75,27.0,26.25,14.687716484069824,1126800,TRV,0
723,2000-02-08,26.75,26.8125,26.125,14.515327453613281,1073900,TRV,1
751,2000-02-09,26.25,26.4375,25.3125,14.032637596130371,1127900,TRV,2
