,date,open,high,low,close,volume,tic,day
24,2000-01-03,6.640625,6.757812976837158,6.617187976837158,5.461557865142822,3431200,UNH,0
52,2000-01-04,6.671875,6.78125,6.617187976837158,5.391700744628906,5997600,UNH,1
80,2000-01-05,6.640625,6.773437976837158,6.578125,5.379000186920166,10562400,UNH,2
108,2000-01-06,6.625,6.9375,6.609375,5.575870037078857,15300000,UNH,3
136,2000-01-07,7.1875,7.6875,7.109375,6.229985237121582,16160800,UNH,4
164,2000-01-10,7.726562976837158,7.734375,7.476562976837158,6.122026443481445,9336000,UNH,0
192,2000-01-11,7.375,7.664062976837158,7.335937976837158,6.134727478027344,9988000,UNH,1
220,2000-01-12,7.484375,7.625,7.4375,6.077570915222168,6378400,UNH,2
248,2000-01-13,7.515625,7.742187976837158,7.476562976837158,6.26809024810791,6981600,UNH,3
276,2000-01-14,7.75,7.851562976837158,7.6875,6.2617387771606445,9292800,UNH,4
304,2000-01-18,7.53125,7.625,7.28125,5.9950127601623535,5514400,UNH,1
332,2000-01-19,7.3125,7.554687976837158,7.3125,6.0458173751831055,7730400,UNH,2
360,2000-01-20,7.4375,7.625,7.3125,6.198233604431152,8457600,UNH,3
388,2000-01-21,7.625,7.625,7.21875,5.931504726409912,12880800,UNH,4
416,2000-01-24,7.171875,7.257812976837158,6.820312976837158,5.607624053955078,9503200,UNH,0
444,2000-01-25,6.9375,7.023437976837158,6.820312976837158,5.607624053955078,8416000,UNH,1
472,2000-01-26,6.8125,7.039062976837158,6.8125,5.5949225425720215,8797600,UNH,2
500,2000-01-27,6.882812976837158,6.914062976837158,6.734375,5.506011009216309,9053600,UNH,3
528,2000-01-28,6.53125,6.828125,6.53125,5.347246170043945,12754400,UNH,4
556,2000-01-31,6.578125,6.90625,6.570312976837158,5.38535213470459,4790400,UNH,0
584,2000-02-01,6.6875,6.929687976837158,6.640625,5.531416416168213,3984000,UNH,1
612,2000-02-02,6.859375,7.0625,6.859375,5.677477836608887,6660000,UNH,2
640,2000-02-03,6.921875,7.0,6.882812976837158,5.626675128936768,13720800,UNH,3
668,2000-02-04,6.953125,7.101562976837158,6.953125,5.7663893699646,7199200,UNH,4
696,2000-02-07,7.0,7.3125,6.976562976837158,5.912454128265381,11616800,UNH,0
724,2000-02-08,7.0,7.140625,6.96875,5.690181255340576,8325600,UNH,1
752,2000-02-09,7.0625,7.085937976837158,6.71875,5.480609893798828,7526400,UNH,2
780,2000-02-10,7.234375,7.554687976837158,7.132812976837158,5.880700588226318,20888000,UNH,3
808,2000-02-11,7.140625,7.390625,6.984375,5.690181255340576,18896000,UNH,4
836,2000-02-14,7.078125,7.1875,7.046875,5.779089450836182,7276000,UNH,0
864,2000-02-15,7.296875,7.679687976837158,7.28125,6.033117294311523,16885600,UNH,1
892,2000-02-16,7.460937976837158,7.8125,7.414062976837158,6.229985237121582,16412800,UNH,2
920,2000-02-17,7.75,8.085938453674316,7.734375,6.3887529373168945,12419200,UNH,3
948,2000-02-18,7.765625,7.8125,7.15625,5.880700588226318,15170400,UNH,4
976,2000-02-22,7.25,7.453125,7.210937976837158,5.975961208343506,5828800,UNH,1
1004,2000-02-23,7.28125,7.3125,7.109375,5.81719446182251,9806400,UNH,2
1032,2000-02-24,7.078125,7.09375,6.492187976837158,5.347246170043945,13012000,UNH,3
1060,2000-02-25,6.578125,6.609375,6.320312976837158,5.20753288269043,9658400,UNH,4
1088,2000-02-28,6.375,6.554687976837158,6.3125,5.226584434509277,8533600,UNH,0
1116,2000-02-29,6.398437976837158,6.492187976837158,6.375,5.194830894470215,7711200,UNH,1
1144,2000-03-01,6.390625,6.921875,6.226562976837158,5.550466537475586,12564800,UNH,2
1172,2000-03-02,6.84375,6.875,6.5,5.3345465660095215,7538400,UNH,3
1200,2000-03-03,6.554687976837158,6.914062976837158,6.507812976837158,5.531416416168213,3794400,UNH,4
1228,2000-03-06,6.789062976837158,6.789062976837158,6.53125,5.3345465660095215,4090400,UNH,0
1256,2000-03-07,6.4375,6.453125,6.109375,4.978907585144043,8610400,UNH,1
1284,2000-03-08,6.109375,6.179687976837158,5.796875,4.839192867279053,10363200,UNH,2
