,date,open,high,low,close,volume,tic,day
26,2000-01-03,28.5,28.6875,27.75,18.247642517089844,2095900,WBA,0
54,2000-01-04,27.8125,28.375,27.125,17.56884765625,1709100,WBA,1
82,2000-01-05,27.75,27.9375,27.3125,17.76850128173828,2167800,WBA,2
110,2000-01-06,27.6875,27.875,26.875,17.24941635131836,2595400,WBA,3
138,2000-01-07,27.0625,27.75,26.375,17.688640594482422,3629900,WBA,4
166,2000-01-10,27.5625,28.875,27.25,18.20771598815918,3296100,WBA,0
194,2000-01-11,28.875,30.0,28.625,18.926450729370117,3499800,WBA,1
222,2000-01-12,30.0,30.375,29.6875,19.325742721557617,2062800,WBA,2
250,2000-01-13,30.0,30.625,29.625,19.28581428527832,2092100,WBA,3
278,2000-01-14,29.625,29.875,29.25,18.80666160583496,2048700,WBA,4
306,2000-01-18,29.0,29.5,28.6875,18.686866760253906,1563000,WBA,1
334,2000-01-19,29.5,30.375,29.3125,19.28581428527832,1985000,WBA,2
362,2000-01-20,30.25,30.8125,29.8125,19.28581428527832,2603900,WBA,3
390,2000-01-21,30.9375,30.9375,29.75,19.126087188720703,2091200,WBA,4
418,2000-01-24,30.125,30.25,28.75,18.52715301513672,1712600,WBA,0
446,2000-01-25,29.1875,29.375,28.1875,18.167787551879883,1878800,WBA,1
474,2000-01-26,27.5,29.3125,27.4375,18.686866760253906,1614400,WBA,2
502,2000-01-27,29.5,29.625,28.1875,18.607009887695312,1420800,WBA,3
530,2000-01-28,28.25,29.25,28.0625,18.407365798950195,1694200,WBA,4
558,2000-01-31,28.75,28.75,27.625,17.848358154296875,2400900,WBA,0
586,2000-02-01,27.6875,29.0,27.0625,18.407365798950195,1820000,WBA,1
614,2000-02-02,28.4375,29.375,28.1875,18.487224578857422,1361200,WBA,2
642,2000-02-03,28.25,29.125,28.25,18.447298049926758,1603300,WBA,3
670,2000-02-04,29.125,29.5,29.0,18.646936416625977,1313000,WBA,4
698,2000-02-07,28.625,29.0,28.4375,18.487224578857422,1358300,WBA,0
726,2000-02-08,29.25,30.125,28.8125,19.245878219604492,2262300,WBA,1
754,2000-02-09,30.0,30.25,29.625,19.126087188720703,1424300,WBA,2
782,2000-02-10,29.9375,30.625,29.875,19.565309524536133,1878600,WBA,3
810,2000-02-11,30.375,30.4375,29.5625,18.926450729370117,1228000,WBA,4
838,2000-02-14,29.5,29.8125,28.9375,19.046226501464844,966100,WBA,0
866,2000-02-15,29.625,29.75,28.25,18.20771598815918,1606600,WBA,1
894,2000-02-16,28.1875,28.3125,27.125,17.58983039855957,1423500,WBA,2
922,2000-02-17,27.25,27.625,26.375,17.509878158569336,1777700,WBA,3
950,2000-02-18,27.0,27.0,25.9375,16.75031852722168,2071400,WBA,4
978,2000-02-22,25.5,26.5,25.0,16.79029655456543,1944300,WBA,1
1006,2000-02-23,25.625,26.9375,25.25,17.110116958618164,2285400,WBA,2
1034,2000-02-24,26.75,26.9375,25.75,16.670368194580078,2963300,WBA,3
1062,2000-02-25,26.0625,26.3125,25.5,16.710346221923828,3820600,WBA,4
1090,2000-02-28,26.1875,26.625,25.125,16.910226821899414,2129900,WBA,0
1118,2000-02-29,26.5625,26.5625,25.75,16.510454177856445,2776400,WBA,1
1146,2000-03-01,25.875,25.875,25.1875,16.39052963256836,2720100,WBA,2
1174,2000-03-02,25.125,25.25,24.5,15.790874481201172,3261000,WBA,3
1202,2000-03-03,24.5625,24.9375,24.1875,15.680933952331543,3165100,WBA,4
1230,2000-03-06,24.5,24.5,23.75,15.511043548583984,2400600,WBA,0
1258,2000-03-07,24.125,24.125,22.0625,14.551593780517578,3522300,WBA,1
1286,2000-03-08,22.75,25.0,22.6875,15.910809516906738,2763600,WBA,2
1314,2000-03-09,24.875,25.875,24.8125,16.39052963256836,2244200,WBA,3
1342,2000-03-10,25.375,25.375,24.4375,15.670940399169922,1667100,WBA,4
1370,2000-03-13,23.375,25.125,23.3125,16.030731201171875,2111800,WBA,0
1398,2000-03-14,25.0625,25.3125,24.5625,15.990752220153809,2657900,WBA,1
1426,2000-03-15,24.875,26.25,24.8125,16.630395889282227,2433100,WBA,2
1454,2000-03-16,26.625,27.75,26.5,17.58983039855957,3862900,WBA,3
1482,2000-03-17,27.75,28.4375,27.625,17.869678497314453,3082500,WBA,4
1510,2000-03-20,28.0,28.0625,27.1875,17.90964698791504,1508700,WBA,0
1538,2000-03-21,27.75,28.375,27.25,17.90964698791504,1785300,WBA,1
1566,2000-03-22,27.5,28.0,27.0,17.869678497314453,2592100,WBA,2
1594,2000-03-23,27.25,27.3125,26.9375,17.389942169189453,2187200,WBA,3
1622,2000-03-24,27.0,28.4375,26.8125,17.90964698791504,2561700,WBA,4
1650,2000-03-27,26.5,26.5625,25.75,16.910226821899414,5142700,WBA,0
1678,2000-03-28,26.375,27.1875,26.25,17.0301513671875,2953600,WBA,1
1706,2000-03-29,26.6875,27.5,25.9375,16.630395889282227,3251000,WBA,2
1734,2000-03-30,26.0625,26.0625,24.875,16.07071304321289,4160000,WBA,3
1762,2000-03-31,25.4375,26.125,24.75,16.470487594604492,7764900,WBA,4
