,date,open,high,low,close,volume,tic,day
27,2000-01-03,68.375,69.0,65.5,43.87313461303711,8369900,WMT,0
55,2000-01-04,65.5,65.8125,64.1875,42.23147964477539,6745100,WMT,1
83,2000-01-05,63.875,64.375,62.1875,41.369606018066406,7018700,WMT,2
111,2000-01-06,63.0,64.5625,62.6875,41.82106399536133,6544500,WMT,3
139,2000-01-07,64.5,68.9375,64.5,44.98124313354492,7976900,WMT,4
167,2000-01-10,67.25,67.5,65.625,44.16040802001953,6714300,WMT,0
195,2000-01-11,67.0625,67.75,65.625,43.50375747680664,4943300,WMT,1
223,2000-01-12,66.1875,66.75,65.0625,42.723968505859375,4085000,WMT,2
251,2000-01-13,66.0,66.125,65.0,42.7650032043457,5021000,WMT,3
279,2000-01-14,64.0,65.9375,64.0,42.354591369628906,6312200,WMT,4
307,2000-01-18,63.1875,66.4375,63.0625,43.052303314208984,6442200,WMT,1
335,2000-01-19,65.25,65.8125,64.0,42.06731414794922,4819900,WMT,2
363,2000-01-20,64.4375,64.5,62.5,41.61585998535156,5738100,WMT,3
391,2000-01-21,63.9375,63.9375,62.0625,41.00023651123047,6952500,WMT,4
419,2000-01-24,63.4375,63.4375,57.5,38.98921585083008,7799900,WMT,0
447,2000-01-25,59.8125,61.1875,59.5,40.138370513916016,6403800,WMT,1
475,2000-01-26,61.125,62.0625,60.0,40.67190170288086,4538400,WMT,2
503,2000-01-27,61.3125,61.5,57.875,38.82502365112305,7323300,WMT,3
531,2000-01-28,58.875,58.875,53.5,36.198402404785156,14029400,WMT,4
559,2000-01-31,54.5625,55.5,54.125,35.952152252197266,7972700,WMT,0
587,2000-02-01,55.0,59.5,54.9375,38.53776550292969,8359000,WMT,1
615,2000-02-02,58.875,60.125,57.9375,38.33255386352539,6034600,WMT,2
643,2000-02-03,58.375,58.8125,56.25,38.33255386352539,6999000,WMT,3
671,2000-02-04,57.9375,57.9375,56.0,36.978187561035156,6549700,WMT,4
699,2000-02-07,56.625,56.625,54.625,36.60881042480469,6043700,WMT,0
727,2000-02-08,57.3125,59.6875,56.875,39.07129669189453,8576100,WMT,1
755,2000-02-09,60.0,60.125,57.3125,37.96317672729492,8216600,WMT,2
783,2000-02-10,57.625,58.375,56.8125,37.42963409423828,4591600,WMT,3
811,2000-02-11,57.4375,57.5,55.625,36.814029693603516,4816700,WMT,4
839,2000-02-14,56.6875,58.875,56.5,38.66086959838867,5803600,WMT,0
867,2000-02-15,56.9375,58.0,55.0,38.0862922668457,9712100,WMT,1
895,2000-02-16,56.5,56.5,52.6875,34.63883972167969,13585800,WMT,2
923,2000-02-17,52.9375,53.5,48.0,31.765932083129883,24766700,WMT,3
951,2000-02-18,48.5,49.5,47.25,31.355527877807617,19394400,WMT,4
979,2000-02-22,49.25,49.3125,46.75,31.601781845092773,12342600,WMT,1
1007,2000-02-23,48.4375,48.5,46.75,30.86305046081543,12874400,WMT,2
1035,2000-02-24,47.0,47.875,43.4375,31.43761444091797,19431900,WMT,3
1063,2000-02-25,44.3125,45.3125,43.625,29.221385955810547,16908500,WMT,4
1091,2000-02-28,44.5625,46.9375,44.5625,30.329477310180664,17836100,WMT,0
1119,2000-02-29,47.9375,49.75,47.9375,32.01219177246094,17197200,WMT,1
1147,2000-03-01,49.875,50.0,47.5,32.17634201049805,10165800,WMT,2
1175,2000-03-02,52.75,52.875,50.4375,33.202396392822266,15542700,WMT,3
1203,2000-03-03,52.125,53.3125,51.5,34.55677032470703,10790800,WMT,4
1231,2000-03-06,52.625,52.6875,48.625,33.16134262084961,10493600,WMT,0
1259,2000-03-07,49.625,49.625,47.125,31.232410430908203,9724700,WMT,1
1287,2000-03-08,47.3125,49.3125,45.625,31.724918365478516,10018700,WMT,2
1315,2000-03-09,49.0,49.4375,46.875,32.13532257080078,7944900,WMT,3
1343,2000-03-10,49.75,49.75,47.4375,31.47865104675293,7005500,WMT,4
1371,2000-03-13,46.25,47.9375,45.875,31.314485549926758,7727900,WMT,0
1399,2000-03-14,47.0,48.8125,46.3125,31.355527877807617,9985000,WMT,1
1427,2000-03-15,47.4375,51.9375,46.5625,33.86054992675781,14670000,WMT,2
1455,2000-03-16,52.3125,55.5625,51.625,35.915191650390625,19716000,WMT,3
1483,2000-03-17,54.5625,56.25,54.125,36.65487289428711,12637300,WMT,4
1511,2000-03-20,55.8125,55.8125,53.375,36.24394226074219,6769100,WMT,0
1539,2000-03-21,55.4375,56.625,54.5,37.23016357421875,7854600,WMT,1
1567,2000-03-22,56.5,56.5,54.0,36.40830612182617,9963500,WMT,2
1595,2000-03-23,54.375,54.5625,53.5,35.50426483154297,7025500,WMT,3
1623,2000-03-24,54.4375,55.6875,54.0,36.49049377441406,7952900,WMT,4
1651,2000-03-27,54.6875,55.5,54.25,36.44940185546875,5774900,WMT,0
1679,2000-03-28,54.5625,55.9375,54.5,35.8330192565918,5797600,WMT,1
1707,2000-03-29,55.5,59.375,55.4375,38.627342224121094,13596700,WMT,2
1735,2000-03-30,59.75,60.75,58.875,38.79171371459961,11570800,WMT,3
1763,2000-03-31,59.25,59.3125,55.5,37.147987365722656,9054000,WMT,4
1791,2000-04-03,56.625,62.0,56.625,40.229949951171875,11935700,WMT,0
1819,2000-04-04,61.6875,63.3125,57.5,39.449188232421875,13675800,WMT,1
1847,2000-04-05,59.3125,60.125,57.5625,38.29856872558594,7066000,WMT,2
1875,2000-04-06,59.125,61.25,58.75,40.18885040283203,7254200,WMT,3
1903,2000-04-07,61.25,62.0,60.625,40.4354133605957,4013100,WMT,4
1931,2000-04-10,61.5,63.6875,61.0,41.79148483276367,5521000,WMT,0
1959,2000-04-11,62.875,63.5,61.5,41.66820526123047,5355400,WMT,1
1987,2000-04-12,63.4375,64.9375,62.0625,41.05181121826172,7243300,WMT,2
2015,2000-04-13,62.3125,62.3125,59.5,39.49027633666992,7884500,WMT,3
2043,2000-04-14,58.0,58.9375,55.0,36.16175079345703,9372700,WMT,4
2071,2000-04-17,55.125,56.375,51.75,35.50426483154297,9660500,WMT,0
2099,2000-04-18,54.0,56.3125,53.125,35.422088623046875,7661200,WMT,1
2127,2000-04-19,54.125,55.5,53.75,36.12067413330078,6255300,WMT,2
2155,2000-04-20,55.125,57.9375,55.125,37.92876052856445,6090400,WMT,3
2183,2000-04-24,57.9375,60.625,57.5,38.709529876708984,5633700,WMT,0
2211,2000-04-25,58.0625,60.75,57.5625,39.24372482299805,6038300,WMT,1
2239,2000-04-26,60.1875,60.75,58.3125,38.627342224121094,5202000,WMT,2
2267,2000-04-27,57.625,58.4375,56.5,37.92876052856445,5515000,WMT,3
2295,2000-04-28,56.8125,57.3125,55.375,36.40830612182617,5012600,WMT,4
2323,2000-05-01,56.375,58.8125,56.1875,38.093135833740234,5109000,WMT,0
2351,2000-05-02,57.3125,57.8125,56.6875,37.88765335083008,4821500,WMT,1
2379,2000-05-03,54.25,54.5,52.75,35.134429931640625,10457300,WMT,2
2407,2000-05-04,53.9375,53.9375,50.4375,33.531822204589844,10766900,WMT,3
2435,2000-05-05,50.1875,52.875,50.1875,33.73727798461914,8640000,WMT,4
2463,2000-05-08,51.25,52.375,49.5,34.43586349487305,7626100,WMT,0
2491,2000-05-09,54.375,54.875,52.5,34.84678268432617,8888200,WMT,1
2519,2000-05-10,53.4375,57.125,53.0,37.27125930786133,11245300,WMT,2
2547,2000-05-11,56.9375,57.0625,55.0,36.81923294067383,6105300,WMT,3
2575,2000-05-12,55.75,57.1875,55.3125,37.35345458984375,4371000,WMT,4
2603,2000-05-15,56.25,57.3125,55.5,37.47671890258789,4272300,WMT,0
2631,2000-05-16,57.4375,59.0625,57.1875,38.13421630859375,6378700,WMT,1
